step,total_energy,energy_per_atom,energy_per_puo2,event_applied,accepted_event_kind,exact_delta_E_if_checked,predicted_delta_E,uncertainty,good_event_probability,total_rate,kmc_time,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,wall_time_s,steps_per_second
0,-6539.416717749045,-15.570039804164393,-46.71011941249318,0,rejected_coordination,0.07078069350327354,0.07078069350327354,0.0,0.0,,,134.0,221.0,355.0,269.0,86.0,1.5333333333333334,0.5238095238095238,0.6426426426426426,0.712202380952381,2.7999455263516273,1.9009918970705793,2.0090862665787728,3.057794273615278,29.79019789999802,10.070426554635944
1,,,,1,relaxation,-0.34892036367465096,-0.34892036367465096,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
2,,,,0,rejected_surface,0.08003776245262628,0.08003776245262628,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
3,,,,1,coordination,0.2846769601068928,0.2846769601068928,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
4,,,,1,random_bulk,-0.4095286296357372,-0.4095286296357372,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
5,,,,1,surface_compression,-0.29209421283488624,-0.29209421283488624,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
6,,,,1,relaxation,-0.6593309391996627,-0.6593309391996627,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
7,,,,1,coordination,0.08104653178327936,0.08104653178327936,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
8,,,,1,random_bulk,-0.26157146608388615,-0.26157146608388615,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
9,,,,1,surface,-0.14254132251452134,-0.14254132251452134,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
10,,,,1,random_surface,-0.010043813540473678,-0.010043813540473678,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
11,,,,1,surface_compression,0.1652277000176703,0.1652277000176703,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
12,,,,1,surface_compression,0.11837415735026013,0.11837415735026013,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
13,,,,1,coordination,0.12749099227344018,0.12749099227344018,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
14,,,,1,coordination,0.08536628234126198,0.08536628234126198,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
15,,,,0,rejected_random_surface,0.5534829935572034,0.5534829935572034,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
16,,,,1,relaxation,-0.11331597202176624,-0.11331597202176624,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
17,,,,1,random_surface,0.013394060835853594,0.013394060835853594,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
18,,,,1,coordination,0.046578466431189014,0.046578466431189014,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
