step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,2.2844343782505145e-14,-6588.670647572072,-15.68731106564779,-47.06193319694337,126.0,209.0,335.0,204.0,131.0,1.3761904761904762,0.5833333333333334,0.7703180212014135,0.7389880952380953,2.646107933349913,1.901643435911218,2.076409916811069,2.8650600058050744,241.0,137.0,random_surface,1,-0.0524450132778502,-0.014795885586327273,0.0,-0.014795885586327273,0.15,0,1,15,0.004560045937684377,0.9288985502433628,55417242599572.56,96,96,0,0.35,2400.0,0.15,1
1,4.103373751382702e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.21371290005853694,-0.48112232420344014,0.0,-0.48112232420344014,0.15,0,1,13,0.05036137033556072,0.8304130922181655,53329082975882.02,96,96,0,0.35,2400.0,0.15,1
2,8.308488660928347e-14,,,,,,,,,,,,,,,,,,,growth_front,1,0.05658356733825385,0.08238787513818835,0.0,0.08238787513818835,0.15,0,0,16,0.027998116101739155,0.5632600875938926,44587812434328.414,96,96,0,0.35,2400.0,0.15,1
3,1.0464802290036972e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.06861760606483237,-0.03344480375449521,0.0,-0.03344480375449521,0.15,0,1,15,0.0029111522141331836,0.8783952097099256,52043837294383.21,96,96,0,0.35,2400.0,0.15,1
4,1.0806154057494517e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.008132265316678402,-0.006595863220905329,0.0,-0.006595863220905329,0.15,0,0,16,0.008215829768224759,0.6598837172267904,56252303524662.97,96,96,0,0.35,2400.0,0.15,1
5,1.355674162704212e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.0591702706555846,-0.047714595595937936,0.0,-0.047714595595937936,0.15,0,1,15,0.014067201291838582,0.8131398243766633,58081292015425.305,96,96,0,0.35,2400.0,0.15,1
6,1.3897865011752867e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.06448658095061109,0.10734208553937208,0.0,0.10734208553937208,0.15,0,0,16,0.012984066548586252,0.1387560761027827,46468062718848.375,96,96,0,0.35,2400.0,0.15,1
7,1.44784162901887e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.09422893599718687,0.14323513732549742,0.0,0.14323513732549742,0.15,0,0,16,0.028979744279576135,0.5075654979855182,51801777739742.91,96,96,0,0.35,2400.0,0.15,1
8,1.7799398398950734e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.03693549709174644,-0.0555171123138436,0.0,-0.0555171123138436,0.15,0,1,15,0.0063957365845616464,0.7960332030063788,53343620793751.305,96,96,0,0.35,2400.0,0.15,1
9,1.8641785842114913e-13,,,,,,,,,,,,,,,,,,,growth_front,1,0.13770671723949557,0.1052793908379428,0.0,0.1052793908379428,0.15,0,0,15,0.011463811394068421,0.08297253570801487,52354381670954.46,96,96,0,0.35,2400.0,0.15,1
