step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,7.577040462665804e-13,-6611.04766605082,-15.74058968107338,-47.22176904322014,126.0,198.0,324.0,159.0,165.0,1.2714285714285714,0.6142857142857143,0.8163265306122449,0.7598214285714285,2.6470588235294117,1.9002046741146823,2.0449504984754525,2.894407921887434,225.0,108.0,rejected_coordination,0,-0.006579311843261892,0.01810297089599544,0.0,0.01810297089599544,,0,0,16,0.0100614666292223,0.20338603995176638,2800319758402.3022,96,96,0,0.35,1000.0,0.0,1
1,1.3878219188197814e-12,,,,,,,,,,,,,,,,,,,relaxation,1,-0.10500808882467103,,,,,0,0,14,0.014936383203489702,0.8526219004746164,2692943874401.475,96,96,0,0.35,1000.0,0.0,1
2,2.016294355395568e-12,,,,,,,,,,,,,,,,,,,surface,1,-0.02897057962561304,,,,,0,0,15,0.009379055066608213,0.5509637372047912,2557465844240.638,96,96,0,0.35,1000.0,0.0,1
3,2.1018421530542246e-12,,,,,,,,,,,,,,,,,,,relaxation,1,-0.19871407323016843,-0.36264729494529746,0.0,-0.36264729494529746,,0,1,15,0.0187623706705448,0.8246743978414581,2466057081623.8745,96,96,0,0.35,1000.0,0.0,1
4,2.9835962594087313e-12,,,,,,,,,,,,,,,,,,,surface,1,0.12935908095610898,,,,,0,0,15,0.002768459287384742,0.33901280649518567,2566153138683.217,96,96,0,0.35,1000.0,0.0,1
5,3.03514111843058e-12,,,,,,,,,,,,,,,,,,,random_surface,1,0.0051849381642103155,,,,,0,0,15,0.01071977589960849,0.6636262695024041,2586083208299.3154,96,96,0,0.35,1000.0,0.0,1
6,3.066946282555848e-12,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.002021840853082802,,,,,0,0,15,0.0010213514562041719,0.6024583209951221,2611728490271.95,96,96,0,0.35,1000.0,0.0,1
7,3.4093505818126528e-12,,,,,,,,,,,,,,,,,,,coordination,1,-0.09698133898144218,,,,,0,0,15,0.013297239919710484,0.5749328387372622,2715759335284.533,96,96,0,0.35,1000.0,0.0,1
8,4.123658416084979e-12,,,,,,,,,,,,,,,,,,,random_bulk,1,0.009895621403488743,,,,,0,0,15,0.023355153315604546,0.2644486906842834,2654873245263.392,96,96,0,0.35,1000.0,0.0,1
9,4.361390245705425e-12,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.0012816940938432846,,,,,0,0,14,0.007604390931080615,0.34077714229013845,2534533546519.907,96,96,0,0.35,1000.0,0.0,1
10,4.512232197143911e-12,,,,,,,,,,,,,,,,,,,surface,1,0.026022908959920172,,,,,0,0,15,0.013529906196378973,0.536871787622277,2852997863254.2363,96,96,0,0.35,1000.0,0.0,1
11,4.6673295514673536e-12,,,,,,,,,,,,,,,,,,,coordination,1,-0.01650226521670544,,,,,0,0,15,0.011668573059919456,0.5131961618277077,2892545565154.2803,96,96,0,0.35,1000.0,0.0,1
12,4.780325808518401e-12,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.07627424539488717,,,,,0,0,15,0.005536693147595376,0.7641246347094777,2769046751261.459,96,96,0,0.35,1000.0,0.0,1
13,5.388403550330691e-12,,,,,,,,,,,,,,,,,,,relaxation,1,-0.07417044814896193,-0.1068559122318149,0.0,-0.1068559122318149,,0,1,15,0.008715659533162806,0.8920991746235286,2559259925429.8955,96,96,0,0.35,1000.0,0.0,1
14,5.652624194083485e-12,,,,,,,,,,,,,,,,,,,relaxation,1,0.006603589150762077,,,,,0,0,15,0.01824039489845513,0.5364445389353147,2478272248780.832,96,96,0,0.35,1000.0,0.0,1
15,5.9630228973364476e-12,,,,,,,,,,,,,,,,,,,relaxation,1,0.029973162632560117,,,,,0,0,14,0.019111426540251594,0.5068049696403073,2873475130742.953,96,96,0,0.35,1000.0,0.0,1
16,5.980737035350019e-12,,,,,,,,,,,,,,,,,,,random_bulk,1,0.0031752438767572314,,,,,0,0,15,0.004434488733104234,0.6299022538155337,1907864276413.4468,96,96,0,0.35,1000.0,0.0,1
17,6.0981586857473586e-12,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.040557910523471116,-0.07146723878617678,0.0,-0.07146723878617678,,0,1,14,0.0023374560597834958,0.9587376810754366,2661333330681.093,96,96,0,0.35,1000.0,0.0,1
18,6.295820223996321e-12,,,,,,,,,,,,,,,,,,,relaxation,1,-0.250020129257949,-0.32084232385572165,0.0,-0.32084232385572165,,0,1,14,0.005771903523171584,0.9276042867072894,3036469149645.9717,96,96,0,0.35,1000.0,0.0,1
19,6.773513689318921e-12,,,,,,,,,,,,,,,,,,,random_bulk,1,0.03462865931879837,,,,,0,0,15,0.01576063452140763,0.41782694379894636,2857756532887.37,96,96,0,0.35,1000.0,0.0,1
20,6.776295912235957e-12,,,,,,,,,,,,,,,,,,,coordination,1,0.004172602525597252,,,,,0,0,15,0.006278895997985347,0.4698174814376078,2123764414538.0737,96,96,0,0.35,1000.0,0.0,1
21,6.837387537739843e-12,,,,,,,,,,,,,,,,,,,relaxation,1,-0.10018398981735525,-0.07232247892078547,0.0,-0.07232247892078547,,0,1,15,0.0034897554381086715,0.895869582599345,2331998251990.4404,96,96,0,0.35,1000.0,0.0,1
22,7.0152292812146614e-12,,,,,,,,,,,,,,,,,,,coordination,1,0.0854310170321984,,,,,0,0,15,0.0005485988290255261,0.01678389373929747,2538029052998.791,96,96,0,0.35,1000.0,0.0,1
23,7.0308965043451946e-12,,,,,,,,,,,,,,,,,,,relaxation,1,-0.22727107650230768,-0.2217050068716695,0.0,-0.2217050068716695,,0,1,15,0.011296337445391325,0.9482496375826526,2375967776250.611,96,96,0,0.35,1000.0,0.0,1
24,7.944230356271334e-12,-6612.502293564282,-15.744053079914957,-47.232159239744874,126.0,198.0,324.0,159.0,165.0,1.2714285714285714,0.6142857142857143,0.8163265306122449,0.7598214285714285,2.654115486166915,1.9002046741146823,2.0449504984754525,2.894407921887434,225.0,108.0,relaxation,1,-0.050363587186583965,-0.025675336755327294,0.0,-0.025675336755327294,,0,0,16,0.007484839742518852,0.23244138385072624,3045272439708.99,96,96,0,0.35,1000.0,0.0,1
25,7.999524181912295e-12,,,,,,,,,,,,,,,,,,,random_surface,1,0.23565021964893734,,,,,0,0,15,0.022640547448856366,0.12766462484032726,2162764008145.6982,96,96,0,0.35,1000.0,0.0,1
26,8.083578123943415e-12,,,,,,,,,,,,,,,,,,,coordination,1,-0.050129228398821224,,,,,0,0,15,0.00010887384957580792,0.2437130795738755,2150648438961.6873,96,96,0,0.35,1000.0,0.0,1
27,8.215572554234851e-12,,,,,,,,,,,,,,,,,,,coordination,1,-0.07343835355721702,-0.0026757834399333547,0.0,-0.0026757834399333547,,0,1,15,7.045054002922935e-05,0.9285117003477146,2447977298173.9746,96,96,0,0.35,1000.0,0.0,1
28,8.723160315168139e-12,,,,,,,,,,,,,,,,,,,surface,1,-0.1617353162277968,-0.09493025406543154,0.0,-0.09493025406543154,,0,1,15,0.016114502179142537,0.8941665407768651,2642179666976.4434,96,96,0,0.35,1000.0,0.0,1
29,9.750008920461481e-12,,,,,,,,,,,,,,,,,,,random_surface,1,-0.07245843869109589,-0.11139558488936885,0.0,-0.11139558488936885,,0,1,15,0.001886898543273112,0.9077136018712458,2572941438686.4194,96,96,0,0.35,1000.0,0.0,1
30,9.792984846750298e-12,,,,,,,,,,,,,,,,,,,relaxation,1,-0.34855349091881177,-0.6420789838692684,0.0,-0.6420789838692684,,0,1,13,0.04667354838204418,0.951652013649015,2501981415070.6504,96,96,0,0.35,1000.0,0.0,1
