step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda
0,1.929816521467153e-15,-6530.1918336942,-15.54807579451,-46.64422738353,134.0,221.0,355.0,269.0,86.0,1.5333333333333334,0.5238095238095238,0.6426426426426426,0.712202380952381,2.722570106180234,1.660799255735021,1.9225992149766942,3.0886456733262557,250.0,163.0,rejected_random_bulk,0,0.18139557592304628,0.202940576619838,0.0,0.202940576619838,,1,0,13,0.020465104374002924,0.053079491127041974,102546714489378.3,64,64,0,0.35,3600.0,0.0
1,5.157851371239047e-15,,,,,,,,,,,,,,,,,,,rejected_random_surface,0,0.05647558102757931,,,,,1,0,12,0.003787494241358682,0.08396540634964031,106329632842299.14,64,64,0,0.35,3600.0,0.0
2,7.466810813337014e-15,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,-0.08089339982173087,,,,,1,0,12,0.004932995341054319,0.9637167512747435,127139353090277.92,64,64,0,0.35,3600.0,0.0
3,1.431452042094536e-14,,,,,,,,,,,,,,,,,,,rejected_random_surface,0,0.10660327331803782,,,,,1,0,12,0.008612879428883717,0.30708989196016734,115099397703930.4,64,64,0,0.35,3600.0,0.0
4,4.2858556615170194e-14,,,,,,,,,,,,,,,,,,,rejected_random_bulk,0,-0.07939948389324532,,,,,1,0,11,0.013183135077568964,0.6231221035439849,113189610344141.27,64,64,0,0.35,3600.0,0.0
5,4.4600977024569724e-14,,,,,,,,,,,,,,,,,,,rejected_relaxation,0,-0.27038007473161907,,,,,1,0,12,0.028248811332376528,0.8358975464086633,111538649493957.84,64,64,0,0.35,3600.0,0.0
6,5.648734862010047e-14,,,,,,,,,,,,,,,,,,,rejected_relaxation,0,-0.014069909565001877,,,,,1,0,11,0.01831666766980753,0.834669694369805,106821900416434.12,64,64,0,0.35,3600.0,0.0
7,3.9958041286984514e-13,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,-0.17914730040260016,-0.1905091405797208,0.0,-0.1905091405797208,,1,1,12,0.004657638579383949,0.9798725784078685,2726665675221.4756,64,64,0,0.35,3600.0,0.0
8,4.1121279636994623e-13,,,,,,,,,,,,,,,,,,,rejected_random_bulk,0,-0.10672088108479941,,,,,1,0,12,0.00868278732124677,0.9512341532344936,117238652327032.47,64,64,0,0.35,3600.0,0.0
9,4.195530427743205e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.015827977646230593,,,,,1,0,11,0.0061271918994808446,0.37847549064463054,107814783407136.11,64,64,0,0.35,3600.0,0.0
10,4.376142281669111e-13,,,,,,,,,,,,,,,,,,,rejected_surface,0,0.09240781746053964,,,,,1,0,12,0.008981365735913592,0.05313845200402364,114500989960021.55,64,64,0,0.35,3600.0,0.0
11,4.445905831749059e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,-0.005939660956360753,,,,,1,0,12,0.006318079968640677,0.6605672979731047,118382080164406.94,64,64,0,0.35,3600.0,0.0
12,4.5030916287524556e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,-0.005223763888363861,,,,,1,0,11,0.000524512828514376,0.7351671517043366,112492980783682.38,64,64,0,0.35,3600.0,0.0
13,4.607190394841924e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.0013461606710678251,,,,,1,0,12,0.003921328466768604,0.4629473153756216,108860497426492.75,64,64,0,0.35,3600.0,0.0
14,4.775351664121832e-13,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,-0.1079565221816072,,,,,1,0,12,0.002072774484468451,0.9390255013923355,110911956687497.38,64,64,0,0.35,3600.0,0.0
15,4.824679028062669e-13,,,,,,,,,,,,,,,,,,,rejected_surface,0,0.02009567639346629,,,,,1,0,12,0.006542911199708488,0.5542914072505327,108070395440296.78,64,64,0,0.35,3600.0,0.0
16,5.024651100587486e-13,,,,,,,,,,,,,,,,,,,rejected_random_surface,0,-0.04136163869663188,,,,,1,0,12,0.004165560726537194,0.7810239820893286,96041003102081.83,64,64,0,0.35,3600.0,0.0
17,1.51385159067192e-12,,,,,,,,,,,,,,,,,,,rejected_coordination,0,-0.26571414408252936,-0.06811373233967544,0.0,-0.06811373233967544,,1,1,12,0.0037951744905635187,0.9886766329744413,2738790553181.4277,64,64,0,0.35,3600.0,0.0
18,1.5357536529595786e-12,,,,,,,,,,,,,,,,,,,rejected_random_surface,0,-0.1418862518227306,,,,,1,0,12,0.02338570309348334,0.9020817979208116,109996689520489.0,64,64,0,0.35,3600.0,0.0
19,1.543286393553259e-12,,,,,,,,,,,,,,,,,,,rejected_random_bulk,0,-0.08735666729867997,,,,,1,0,12,0.014923781536174345,0.8301877011113634,102439149108533.8,64,64,0,0.35,3600.0,0.0
20,1.552875709516036e-12,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.05650462796481409,,,,,1,0,12,0.0011498759982924746,0.8126070423594896,107894555802198.66,64,64,0,0.35,3600.0,0.0
21,1.7085703874043472e-12,,,,,,,,,,,,,,,,,,,rejected_relaxation,0,-0.3316848247147975,-0.4886956735501542,0.0,-0.4886956735501542,,1,1,12,0.004895496827174939,0.9848012675731337,2733453428997.818,64,64,0,0.35,3600.0,0.0
22,1.7242171372314212e-12,,,,,,,,,,,,,,,,,,,rejected_random_bulk,0,-0.038244990230574816,,,,,1,0,11,0.0019716481097877894,0.5908837274575053,123978733639640.1,64,64,0,0.35,3600.0,0.0
