feature,importance
displacement_length,731.0
radial_displacement,601.5
force_projection_before,598.5
displacement_y,404.5
displacement_z,387.0
displacement_x,382.0
local_energy_delta,354.5
nearest_any_after_1,344.0
local_energy_before,338.5
force_after_norm,322.5
pu_count_after_r_2.0,308.5
local_energy_after,261.0
force_before_norm,260.5
force_after_y,260.5
nearest_pu_after_1,260.0
force_after_z,253.0
nearest_o_after_1,241.0
force_after_x,235.0
nearest_any_after_2,210.5
pu_count_after_r_3.0,198.0
nearest_pu_after_2,193.0
nearest_any_before_9,187.5
nearest_pu_after_3,185.0
nearest_pu_before_7,176.0
force_before_z,175.5
force_before_y,174.0
nearest_any_before_7,172.0
force_before_x,169.5
nearest_any_before_8,169.0
nearest_any_after_3,135.0
nearest_any_after_4,134.5
radius_before,133.0
radius_after,120.5
nearest_o_after_6,119.0
pu_count_after_r_4.0,116.5
nearest_o_after_8,113.5
nearest_pu_before_12,113.0
nearest_pu_after_5,113.0
nearest_pu_after_4,110.0
nearest_pu_after_6,108.5
nearest_any_after_8,108.0
pu_count_after_r_6.0,107.5
nearest_pu_before_8,106.0
nearest_pu_after_8,105.5
nearest_o_after_2,104.0
nearest_any_after_9,103.5
pu_count_after_r_5.0,103.5
nearest_any_after_5,98.5
nearest_any_after_7,96.5
nearest_any_after_10,92.0
nearest_any_after_6,92.0
nearest_pu_after_7,91.0
nearest_pu_before_14,90.5
nearest_o_after_3,85.5
nearest_o_after_4,81.5
nearest_pu_before_10,81.5
nearest_o_after_5,80.5
nearest_o_after_9,79.5
nearest_any_before_14,79.0
nearest_pu_before_11,79.0
nearest_any_before_11,76.5
nearest_any_before_13,74.5
nearest_pu_after_11,73.5
nearest_pu_before_13,72.5
o_count_after_r_2.0,72.5
nearest_any_after_16,72.0
nearest_o_after_10,72.0
nearest_o_before_6,72.0
o_count_after_r_4.0,70.0
nearest_o_after_15,69.5
nearest_pu_after_12,68.5
nearest_any_before_10,68.5
nearest_o_after_12,67.0
nearest_o_after_13,66.5
o_count_after_r_5.0,66.5
nearest_o_after_7,65.5
nearest_o_after_11,64.5
nearest_any_after_13,64.0
nearest_any_after_14,64.0
nearest_o_after_14,63.0
nearest_pu_before_9,62.5
nearest_any_before_12,62.5
nearest_any_before_2,62.0
nearest_any_after_11,61.0
nearest_o_after_16,60.0
nearest_any_before_3,60.0
nearest_pu_before_15,59.5
o_count_after_r_3.0,59.0
nearest_pu_after_10,57.0
nearest_any_after_12,56.0
nearest_o_before_2,55.5
nearest_any_before_6,55.0
nearest_any_before_1,54.0
nearest_o_before_1,53.5
o_count_before_r_6.0,53.0
nearest_o_before_5,53.0
o_count_after_r_6.0,52.5
nearest_any_before_4,52.5
nearest_o_before_16,52.0
nearest_any_before_15,49.5
nearest_any_before_16,48.5
nearest_o_before_3,47.5
nearest_pu_before_16,46.5
nearest_o_before_4,46.5
nearest_any_after_15,45.0
nearest_any_before_5,42.5
nearest_pu_after_9,41.0
nearest_pu_after_13,40.0
nearest_pu_before_1,37.5
nearest_pu_before_2,35.0
nearest_pu_before_6,32.0
nearest_pu_after_15,30.0
nearest_o_before_15,25.5
o_count_before_r_5.0,25.5
nearest_pu_before_3,24.5
nearest_pu_before_4,23.5
nearest_pu_after_16,21.5
nearest_pu_before_5,17.0
nearest_o_before_11,15.0
nearest_pu_after_14,14.5
coord_deviation_before,12.5
coord_deviation_delta,10.5
pu_count_before_r_6.0,10.0
pu_count_before_r_3.0,7.0
o_count_before_r_3.0,7.0
o_count_before_r_4.0,6.5
nearest_o_before_10,5.5
coord_deviation_after,5.5
nearest_o_before_9,5.5
nearest_o_before_14,4.5
pu_count_before_r_5.0,4.5
nearest_o_before_13,3.5
nearest_o_before_12,3.5
pu_count_before_r_4.0,3.0
nearest_o_before_8,1.5
o_count_before_r_2.0,1.5
pu_count_before_r_2.0,1.0
central_is_pu,0.0
nearest_o_before_7,0.0
