step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,stage
0,1.3689029040603962e-14,-6517.942715396368,-15.51891122713421,-46.556733681402626,136.0,221.0,357.0,271.0,86.0,1.5571428571428572,0.5095238095238095,0.6234939759036144,0.7080357142857143,2.825319206737299,1.9002984569318293,2.028106568648502,2.8878540106695336,243.0,169.0,rejected_coordination,0,-0.05271960706115526,0.6242929474752188,0.0,0.6242929474752188,0.2,0,0,18,0.058658413595937584,0.49995319423536405,164741343556407.75,128,128,0,0.35,3300.0,4.0,stage1_ordering
1,1.9440658924540713e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.12177197312629996,-0.020040928945402214,0.0,-0.020040928945402214,0.2,0,1,17,0.06547145805550861,0.8265006898121863,169343910568789.44,128,128,0,0.35,3300.0,4.0,stage1_ordering
2,2.4717604749688064e-14,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.08034342486896083,0.16048434529329825,0.0,0.16048434529329825,0.2,0,0,19,0.048256879452492504,0.3537739133470778,166631661423626.66,128,128,0,0.35,3300.0,4.0,stage1_ordering
3,2.647673051219614e-14,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.1404806642621483,0.22879226288802812,0.0,0.22879226288802812,0.2,0,0,21,0.045073737548343686,0.4663849802803123,167947879138036.4,128,128,0,0.35,3300.0,4.0,stage1_ordering
4,2.8397018881659648e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.08423489891849549,-0.15546290725556133,0.0,-0.15546290725556133,0.2,0,1,19,0.02795267006207214,0.7833002996062316,177906314185257.22,128,128,0,0.35,3300.0,4.0,stage1_ordering
5,3.618805985061999e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.1325020406653578,-0.15334382568078553,0.0,-0.15334382568078553,0.2,0,1,17,0.05050994128962589,0.7687050583877542,172801103531159.3,128,128,0,0.35,3300.0,4.0,stage1_ordering
6,5.391597045040885e-14,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.2557366387524204,-0.007104746783639371,0.0,-0.007104746783639371,0.2,0,0,20,0.05948404667163411,0.5513465325436501,164905257812432.2,128,128,0,0.35,3300.0,4.0,stage1_ordering
7,6.325393368036184e-14,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.025707096200389187,0.04058037312461238,0.0,0.04058037312461238,0.2,0,1,20,0.028178199440922695,0.7226637434951986,164682972602803.84,128,128,0,0.35,3300.0,4.0,stage1_ordering
8,6.81030342100007e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.359658967066597,-0.3952509389210235,0.0,-0.3952509389210235,0.2,0,1,18,0.14818773427703247,0.7596850667650389,172876436378422.66,128,128,0,0.35,3300.0,4.0,stage1_ordering
9,7.596369205021484e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.38349645685675343,-0.23830894129103797,0.0,-0.23830894129103797,0.2,0,1,19,0.14665826172687696,0.36117029368913167,170374480964389.06,128,128,0,0.35,3300.0,4.0,stage1_ordering
