step,accepted,energy,close_contact_penalty,objective
0.0,1.0,-6515.246827559427,0.048266850215999094,-6273.912576479432
1.0,1.0,-6515.705223773524,0.034850843937658076,-6341.451004085234
2.0,0.0,-6515.705223773524,0.034850843937658076,-6341.451004085234
3.0,1.0,-6516.407085222541,0.020191424047370978,-6415.449964985686
4.0,1.0,-6516.4878874428305,0.013576238151515032,-6448.606696685255
5.0,1.0,-6516.459728038386,0.0060864252792822955,-6486.027601641975
6.0,1.0,-6516.412938392616,0.0052369611019842015,-6490.228132882695
7.0,1.0,-6517.084386008515,0.002318079558271788,-6505.493988217157
8.0,1.0,-6517.497095700866,0.0005078681989888155,-6514.9577547059225
9.0,1.0,-6517.716717626967,0.00018253645116809213,-6516.804035371127
10.0,1.0,-6517.970583732449,2.6720975017786894e-05,-6517.83697885736
11.0,0.0,-6517.970583732449,2.6720975017786894e-05,-6517.83697885736
12.0,1.0,-6517.942715396368,0.0,-6517.942715396368
