step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs,stage
0,8.010286700090979e-16,-6504.777142950283,-15.487564626072102,-46.46269387821631,136.0,218.0,354.0,268.0,86.0,1.542857142857143,0.5166666666666667,0.6295180722891566,0.7110119047619048,2.891697241473026,1.9001547635772849,2.0204512974880235,2.8754096774145084,244.0,167.0,growth_front,1,-0.1015105378067058,0.06710425841584566,0.0,0.06710425841584566,0.2,0,0,12,9.101081244951986e-05,0.7880288581262633,114662544941654.56,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
1,8.43441155790657e-15,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.01172154977758136,0.050884131408651,0.0,0.050884131408651,0.2,0,0,13,0.0006959742443913806,0.3456213681488945,96206004880062.64,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
2,2.1072181368425076e-14,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.23798284345187062,0.3093207778440714,0.0,0.3093207778440714,0.2,0,0,13,0.003300197261881521,0.01447444534611439,100832474730936.56,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
3,2.3449828266138565e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.12165630675651348,-0.0885772617630316,0.0,-0.0885772617630316,0.2,0,0,12,0.0006214011307396003,0.8554821318858861,104605596486036.53,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
4,4.652989848608951e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.026702082798025044,-0.04498953893220303,0.0,-0.04498953893220303,0.2,0,0,13,0.0030401391970827484,0.8445687964707784,99568582476672.83,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
5,4.9802983091980114e-14,,,,,,,,,,,,,,,,,,,random_surface,1,-0.05609506848598307,-0.38223287910383874,0.0,-0.38223287910383874,0.2,0,0,13,0.008669142193106449,0.7722946444914475,104627735852376.44,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
6,5.383094758014403e-14,,,,,,,,,,,,,,,,,,,rejected_surface,0,0.23241931329397864,0.3263851550684649,-0.0018904446615289894,0.33205648905305185,0.2,0,0,13,0.004767240625113661,0.12420386664295531,93825300605447.81,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
7,5.393994129758384e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,0.08696979943351418,0.05674114320972379,0.0,0.05674114320972379,0.2,0,0,11,0.012971952097468827,0.1908470996943952,110028254230897.4,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
8,5.568764281123414e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.22287366323497454,0.16823661284269065,0.0,0.16823661284269065,0.2,0,0,12,0.010031126143987198,0.020766917290652994,106452371489740.53,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
9,6.424857559041815e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,0.028218077050901028,-0.03572447233485576,0.0,-0.03572447233485576,0.2,0,0,13,0.006802723856046055,0.38578481482209653,95005330576455.58,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
