step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,5.430652872245001e-16,-6506.28367158906,-15.49115159902157,-46.47345479706471,136.0,217.0,353.0,267.0,86.0,1.542857142857143,0.5119047619047619,0.6265060240963856,0.7110119047619048,2.8990228013029316,1.9009918970705793,2.007676045773478,2.874240989140616,244.0,168.0,surface_compression,1,-0.9146700743018352,-1.1218235141790256,0.0,-1.1218235141790256,0.2,0,1,11,0.04344627028457232,0.9954107792739826,102217520065103.6,64,64,0,0.35,3600.0,3.0,1
1,2.14696411458725e-14,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.036453935635997164,-0.06748402112855989,0.0,-0.06748402112855989,0.2,0,0,13,0.007042948660827369,0.5618146626891466,100667405920550.44,64,64,0,0.35,3600.0,3.0,1
2,2.176389518397622e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.01841462525527968,-0.11718808204524578,0.0,-0.11718808204524578,0.2,0,0,13,0.0032781537344134535,0.8722733738072321,110129042739910.4,64,64,0,0.35,3600.0,3.0,1
3,3.649313058676827e-14,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.007928111696226526,-0.001794055089260338,0.0,-0.001794055089260338,0.2,0,0,12,0.008004749958200243,0.2696617009753812,117199673666600.23,64,64,0,0.35,3600.0,3.0,1
4,5.155735155397282e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.02258594697941955,-0.03515523186203495,0.0,-0.03515523186203495,0.2,0,0,12,0.000677013893689675,0.9134544370961156,107150466727788.19,64,64,0,0.35,3600.0,3.0,1
5,5.880571344906519e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,0.06946325253949787,-0.049401765346203774,0.0,-0.049401765346203774,0.2,0,1,12,0.03215884236489064,0.3592741894758193,104228912924018.06,64,64,0,0.35,3600.0,3.0,1
6,8.720554794664587e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.0769300904677969,-0.013405994918247899,0.0,-0.013405994918247899,0.2,0,0,13,0.012351653374057761,0.38501093886784127,107900400237709.6,64,64,0,0.35,3600.0,3.0,1
7,9.042600446178809e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.2905962552128171,-0.2008110782238024,0.0,-0.2008110782238024,0.2,0,1,12,0.010653231801542762,0.9928984683472193,106856984298438.81,64,64,0,0.35,3600.0,3.0,1
8,1.1804644524240735e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.030272501885002134,-0.1141374284487,0.0,-0.1141374284487,0.2,0,0,13,0.0002594953507760612,0.9180276305621585,107343458164886.77,64,64,0,0.35,3600.0,3.0,1
9,1.2160354948710396e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.0421810191083289,-0.02079841934141058,0.0,-0.02079841934141058,0.2,0,1,12,0.004126167750498823,0.9346525834548757,89938937675404.84,64,64,0,0.35,3600.0,3.0,1
