step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,5.877086371677403e-14,-6532.515561928545,-15.55360848078225,-46.66082544234675,133.0,220.0,353.0,269.0,84.0,1.5285714285714285,0.5166666666666667,0.6246246246246246,0.7127976190476191,2.5541009885118884,1.900309698972289,2.0138283930714005,2.874240989140616,245.0,164.0,rejected_growth_front,0,0.12221629190266159,0.6756418260719812,0.0,0.6756418260719812,0.2,0,0,13,0.011701537848078397,0.6416020398076088,48617118145334.16,64,64,0,0.35,2600.0,0.5,1
1,7.9442852610138e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.05555881149250032,-0.10327133318549642,0.0,-0.10327133318549642,0.2,0,1,11,0.007043947485662189,0.8802045094826071,48015704933774.39,64,64,0,0.35,2600.0,0.5,1
2,2.2228440723115488e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.016376562487870235,-0.005950310761441813,0.0,-0.005950310761441813,0.2,0,0,13,0.004843820758527025,0.36055687239193107,43290270968505.164,64,64,0,0.35,2600.0,0.5,1
3,2.406793683476538e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.05329811299284424,-0.011775073794936475,0.0,-0.011775073794936475,0.2,0,0,13,0.004013989885696102,0.12494529502146404,51749295889107.086,64,64,0,0.35,2600.0,0.5,1
4,2.618331429497082e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.0024287749640393456,0.025462952580717513,0.0,0.025462952580717513,0.2,0,0,13,0.0011874508476703318,0.6007671415346891,59343670485659.12,64,64,0,0.35,2600.0,0.5,1
5,2.8429649552365553e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.2868557950917101,-0.2395036907012731,-0.0030030030030030463,-0.23800218919977156,0.2,0,0,13,0.02730534563258688,0.8141773583145099,59265838175719.55,64,64,0,0.35,2600.0,0.5,1
6,3.119396820150489e-13,,,,,,,,,,,,,,,,,,,rejected_snap_to_fluorite_site,0,0.09185412599863282,0.2572654018324805,0.0,0.2572654018324805,0.2,0,0,12,0.003949691123231756,0.4794888703385033,53790951608570.3,64,64,0,0.35,2600.0,0.5,1
7,3.2387464285187973e-13,,,,,,,,,,,,,,,,,,,surface,1,0.17155749773900464,-0.07873893628045892,0.0,-0.07873893628045892,0.2,0,0,13,0.014395420719370763,0.048902240750150594,44608266889688.445,64,64,0,0.35,2600.0,0.5,1
8,3.3949206681151484e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.1738177684656798,-0.48503852530388514,0.0,-0.48503852530388514,0.2,0,1,12,0.01751415884251857,0.8594385539283623,53927634926271.984,64,64,0,0.35,2600.0,0.5,1
9,3.5629633216033933e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.052684005851607416,0.033823730925384154,0.0,0.033823730925384154,0.2,0,0,13,0.003912118017474372,0.648400682036768,52492847002976.84,64,64,0,0.35,2600.0,0.5,1
