step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement
0,7.189050768214238e-15,-6541.128298018252,-15.574114995281553,-46.72234498584466,134.0,222.0,356.0,270.0,86.0,1.5333333333333334,0.5261904761904762,0.6426426426426426,0.712202380952381,2.7124183006535945,1.9009918970705793,2.0123080413809733,3.0997431349216664,relaxation,1,-0.16032328274883723,-0.4561420148041613,1,10,0.07772365397112875,0.7439489465113889,95659611492288.28,64,64,0,0.35
1,1.0194089726376305e-14,,,,,,,,,,,,,,,,,coordination,1,0.24452436334242728,,0,10,0.060275293875594785,0.3145239747412207,101728109164754.92,64,64,0,0.35
2,1.0221597757772762e-14,,,,,,,,,,,,,,,,,surface_compression,1,0.013511358980098002,,0,11,0.021151165305242307,0.5535832976971711,103276061345993.62,64,64,0,0.35
3,2.465072339010729e-14,,,,,,,,,,,,,,,,,surface_compression,1,-0.21806641231349483,,0,11,0.08794313542140968,0.6481861172395088,103525317401186.14,64,64,0,0.35
4,3.1519173846183456e-14,,,,,,,,,,,,,,,,,surface,1,0.0018033173061440511,,0,11,0.03362984478254667,0.46497409099351233,91827498288190.45,64,64,0,0.35
5,3.3511485362592334e-14,,,,,,,,,,,,,,,,,random_surface,1,-0.13004913083046152,-0.053668127318800884,1,9,0.041028398192554674,0.5992346835553946,103981619924650.88,64,64,0,0.35
6,4.054348628891113e-14,,,,,,,,,,,,,,,,,random_surface,1,-0.37463497128233236,-0.23070036428036644,1,10,0.1483224701166986,0.7222590708819686,100110091029593.81,64,64,0,0.35
7,4.330993958413452e-14,,,,,,,,,,,,,,,,,surface_compression,1,-0.28989786924187466,-0.3740319090964377,1,11,0.16127186067562593,0.43794120046947416,90392289987710.66,64,64,0,0.35
8,6.286111904459007e-14,,,,,,,,,,,,,,,,,surface,1,0.0944761789752493,,0,12,0.02342046491321365,0.10614633010010432,102246726066176.02,64,64,0,0.35
9,7.163222844412129e-14,,,,,,,,,,,,,,,,,relaxation,1,0.0007178739829336125,,0,11,0.06936241275786482,0.6173000251970476,98053834735648.3,64,64,0,0.35
10,7.396186211508415e-14,,,,,,,,,,,,,,,,,surface_compression,1,0.153388098912228,,0,11,0.04918295367074749,0.2232847462096623,104920896489992.98,64,64,0,0.35
11,8.454580609966373e-14,,,,,,,,,,,,,,,,,surface,1,0.2896425343119679,,0,10,0.04017966589032751,0.14778976143261235,93457207177057.33,64,64,0,0.35
12,8.529889127611936e-14,,,,,,,,,,,,,,,,,random_surface,1,0.2507524288352958,,0,12,0.0856278137436529,0.2306333183408697,101714898792483.69,64,64,0,0.35
13,9.530019099940306e-14,,,,,,,,,,,,,,,,,relaxation,1,-0.07708216242949545,,0,12,0.04178504565950712,0.33646393160227667,110115849479168.81,64,64,0,0.35
14,1.1717824900133596e-13,,,,,,,,,,,,,,,,,random_surface,1,0.0326495542539519,,0,10,0.027578040113857238,0.43624061539094644,96876578107027.66,64,64,0,0.35
15,1.2022410168679804e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.09465331750408518,,0,11,0.050450946083424326,0.49925510976112564,97886857677052.94,64,64,0,0.35
16,1.308902278356532e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.13813242622828448,-0.12072600976718206,1,12,0.050765663357939306,0.8138860323155693,96083493147147.69,64,64,0,0.35
17,1.3927819169065006e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.08794123673902285,-0.08188121314481833,1,11,0.0280031687871855,0.9500911054516709,96948732847262.12,64,64,0,0.35
18,1.3971083892777515e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.16100098914506972,,0,12,0.07695867241572935,0.5688201504848616,93880272820254.06,64,64,0,0.35
19,1.4754505168822502e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.5225254433573638,-0.486159072827526,1,10,0.15270992345667186,0.6509100871018989,94729304977135.6,64,64,0,0.35
20,1.556034625812204e-13,,,,,,,,,,,,,,,,,coordination,1,0.07737442570736575,,0,11,0.026444675203338413,0.29598872140583654,99408583642582.53,64,64,0,0.35
21,1.564107774123057e-13,,,,,,,,,,,,,,,,,coordination,1,0.1646843413674635,,0,10,0.048627752569517915,0.22564592834126632,94567656982331.19,64,64,0,0.35
22,1.846494571910008e-13,,,,,,,,,,,,,,,,,random_surface,1,0.21553377576473326,,0,11,0.07524511333486267,0.3179633203161211,99994508428535.44,64,64,0,0.35
23,1.8651876738067835e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.11135514409123834,,0,11,0.03749510604897898,0.457905892693036,102388477320089.88,64,64,0,0.35
24,2.3867073762262877e-13,-6540.973924405469,-15.573747439060641,-46.72124231718192,134.0,223.0,357.0,272.0,85.0,1.5380952380952382,0.5261904761904762,0.6407185628742516,0.7113095238095238,2.6985854189336234,1.9016441783267444,2.0123080413809733,3.0812958095690863,random_surface,1,-0.6800292524882763,-0.37126246866610657,1,10,0.1574073894377255,0.834530337187032,96995410136331.94,64,64,0,0.35
25,2.507380403949333e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.0636358813597984,,0,12,0.05027965135379253,0.410967298776758,98894866796321.69,64,64,0,0.35
26,2.5516388651129593e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.01622487317678809,,0,11,0.035165954496298946,0.2801965361326877,89630826239749.39,64,64,0,0.35
27,2.621240064002227e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.20618749948143938,,0,11,0.04159218830162589,0.18996330298214012,98732676545831.97,64,64,0,0.35
28,2.737727287074538e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.04085680523949947,,0,12,0.02704155821747284,0.34621989000697667,95575768803748.52,64,64,0,0.35
29,2.740247727955224e-13,,,,,,,,,,,,,,,,,random_surface,1,0.1224118422646916,,0,12,0.03130236712925062,0.4671562426395186,105055010353997.22,64,64,0,0.35
30,2.891231350048463e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.08844098769388617,,0,12,0.09162277654987261,0.45238850072374476,103427259020879.69,64,64,0,0.35
31,3.090607099308208e-13,,,,,,,,,,,,,,,,,random_surface,1,0.03405250677640194,,0,12,0.024415320650391755,0.3000460553398444,87672102845892.0,64,64,0,0.35
32,3.134402591014888e-13,,,,,,,,,,,,,,,,,relaxation,1,0.22651879359564572,,0,11,0.05189436774104347,0.2664976900268614,98219667290565.08,64,64,0,0.35
33,3.1372221890421387e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.08994777265550923,,0,12,0.04632406671369363,0.47479715763253355,90358363926534.42,64,64,0,0.35
34,3.2869333646840444e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.06935565382124445,-0.23571458702839365,1,11,0.022864675201676017,0.7248620578619527,97848010137711.53,64,64,0,0.35
35,3.337362605244427e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.05325128020303969,,0,12,0.027516223962787984,0.6406843860258913,110499226472346.61,64,64,0,0.35
36,3.3625556688859935e-13,,,,,,,,,,,,,,,,,coordination,1,-0.19793527246290796,,0,9,0.1170709816429618,0.4221246324504933,95886445138343.22,64,64,0,0.35
37,3.4574448757098487e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.04776682649384464,,0,11,0.019653732568187327,0.2791691957458947,91561449728902.23,64,64,0,0.35
38,3.720853985724309e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.17986698299336082,,0,12,0.06525571011167361,0.6319031501202196,103404078758864.84,64,64,0,0.35
39,3.7664447099675053e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.08353482759173146,,0,10,0.03808097127375787,0.3904642883961533,97133382420157.42,64,64,0,0.35
40,3.7768113112540765e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.1035026970243621,,0,9,0.04865588221844539,0.5454131846026081,106881387744587.34,64,64,0,0.35
41,4.120844393576926e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.05541319179532882,-0.5349388907952033,1,10,0.04796112450794335,0.6508650694564333,91011849616662.22,64,64,0,0.35
