step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda
0,1.1795152456378298e-12,-6536.6954585421,-15.563560615576428,-46.690681846729284,135.0,221.0,356.0,270.0,86.0,1.5333333333333334,0.5238095238095238,0.6426426426426426,0.712202380952381,2.7124183006535945,1.8587803440953288,1.9933782481450932,3.0886456733262557,250.0,163.0,rejected_surface_compression,0,-0.18886466203938107,-0.12863041677078257,0.0,-0.12863041677078257,,1,1,11,0.0025317536200171326,0.992836410708615,2744519367898.1016,64,64,0,0.35,3600.0,0.0
1,1.181920941628922e-12,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,0.04738897842982212,,,,,1,0,12,0.016880260469064278,0.3913246137842255,108449754694309.19,64,64,0,0.35,3600.0,0.0
2,1.1857777888630807e-12,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,-0.004693810921370846,,,,,1,0,12,0.004802341484196133,0.8066551750506161,105644093686784.97,64,64,0,0.35,3600.0,0.0
3,1.1912555024268432e-12,,,,,,,,,,,,,,,,,,,rejected_relaxation,0,0.0016131262465863324,,,,,1,0,12,0.008934283430334635,0.7319682155799515,101014067714875.94,64,64,0,0.35,3600.0,0.0
4,1.2017727857489154e-12,,,,,,,,,,,,,,,,,,,rejected_random_bulk,0,-0.07531859022930319,,,,,1,0,11,0.000610787610356045,0.9079028582860913,117056618586958.42,64,64,0,0.35,3600.0,0.0
5,1.2028234588968228e-12,,,,,,,,,,,,,,,,,,,rejected_surface,0,0.019541004791715232,,,,,1,0,12,0.0009163473917583181,0.7837174108079954,95332551413145.38,64,64,0,0.35,3600.0,0.0
6,1.2082796724705194e-12,,,,,,,,,,,,,,,,,,,rejected_relaxation,0,-0.1576145763188148,,,,,1,0,11,0.007461886802694273,0.9357003289171658,106739832103425.0,64,64,0,0.35,3600.0,0.0
7,1.2124328648425637e-12,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.025183905083820464,,,,,1,0,12,0.004921953541791429,0.32970702826872994,114465661599429.0,64,64,0,0.35,3600.0,0.0
8,1.217695890450957e-12,,,,,,,,,,,,,,,,,,,rejected_random_surface,0,0.03410830518339612,,,,,1,0,12,0.0061115917309175795,0.4075511413096679,110338260942874.72,64,64,0,0.35,3600.0,0.0
9,1.2180760955486113e-12,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,-0.03773622018092458,,,,,1,0,12,0.00026385283681784263,0.9328246195405642,108469873372657.0,64,64,0,0.35,3600.0,0.0
10,1.3603460379684307e-12,,,,,,,,,,,,,,,,,,,rejected_random_bulk,0,-0.2203634166390192,-0.2432517255312021,0.0,-0.2432517255312021,,1,1,12,0.03332474061844937,0.9118987278245428,2633052597683.308,64,64,0,0.35,3600.0,0.0
11,1.3774772900161642e-12,,,,,,,,,,,,,,,,,,,rejected_relaxation,0,-0.0731088143882242,,,,,1,0,11,0.0006908814868175905,0.8475504605172051,103786180182697.56,64,64,0,0.35,3600.0,0.0
12,2.1621100616853495e-12,,,,,,,,,,,,,,,,,,,rejected_relaxation,0,-0.3202113731599642,-0.8239066638418855,0.0,-0.8239066638418855,,1,1,11,0.00891546101894461,0.9677674558092435,2709994591110.315,64,64,0,0.35,3600.0,0.0
13,2.8605955701618513e-12,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,-0.8453126699023477,-0.8805882795481761,0.0,-0.8805882795481761,,1,1,12,0.011376426485253333,0.9973365774689726,2750716963830.314,64,64,0,0.35,3600.0,0.0
14,3.216862032948702e-12,,,,,,,,,,,,,,,,,,,rejected_relaxation,0,-0.38811745500484085,-0.3653923851114911,0.0,-0.3653923851114911,,1,1,12,0.011909439649983006,0.9896372718094412,2740113537784.702,64,64,0,0.35,3600.0,0.0
15,3.301584573581817e-12,,,,,,,,,,,,,,,,,,,rejected_surface,0,-0.23358325543890776,-0.21563386305217946,0.0,-0.21563386305217946,,1,1,11,0.02155936141863521,0.9862308403674288,2735422225935.028,64,64,0,0.35,3600.0,0.0
16,4.153305877422194e-12,,,,,,,,,,,,,,,,,,,rejected_coordination,0,-0.20416178553829806,-0.28905922539361484,0.0,-0.28905922539361484,,1,1,12,0.008750003621564098,0.9850348308837279,2733775090638.5386,64,64,0,0.35,3600.0,0.0
17,4.157952832445298e-12,,,,,,,,,,,,,,,,,,,rejected_surface,0,0.37906478449392433,,,,,1,0,11,0.02875934074938674,0.04345103057057454,107200552096130.97,64,64,0,0.35,3600.0,0.0
18,4.163403989078934e-12,,,,,,,,,,,,,,,,,,,rejected_random_surface,0,0.1500300737073278,,,,,1,0,12,0.02822388752113588,0.25771352724081514,103691382224007.66,64,64,0,0.35,3600.0,0.0
19,4.256029636307735e-12,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,-0.5078506607612167,-0.45534764353698876,0.0,-0.45534764353698876,,1,1,10,0.0011338857855910378,0.993470326037845,2745392391338.124,64,64,0,0.35,3600.0,0.0
20,4.26886971344118e-12,,,,,,,,,,,,,,,,,,,rejected_coordination,0,-0.14222807938187326,,,,,1,0,12,0.013169861553455342,0.9478460772817766,99762187898037.58,64,64,0,0.35,3600.0,0.0
21,4.276686811654941e-12,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,-0.03678146006170938,,,,,1,0,12,0.0029619737040026267,0.9111181025953548,120022801846077.0,64,64,0,0.35,3600.0,0.0
22,4.281222810250867e-12,,,,,,,,,,,,,,,,,,,rejected_random_surface,0,0.011075800248748914,,,,,1,0,12,0.005989175171821677,0.8768163353229315,108753507987679.72,64,64,0,0.35,3600.0,0.0
23,4.285876432950135e-12,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,0.10848678478432354,,,,,1,0,12,0.01262158363271361,0.7295082074848541,99710722357368.34,64,64,0,0.35,3600.0,0.0
