step,accepted,energy,close_contact_penalty,objective
0.0,1.0,-6530.283510999334,0.2977284979073039,-5041.641021462814
1.0,1.0,-6530.582019703477,0.2788663021380257,-5136.250509013349
2.0,1.0,-6530.916586268184,0.2606856739387409,-5227.488216574479
3.0,1.0,-6531.244467472901,0.22905773415395891,-5385.955796703107
4.0,1.0,-6531.605432799857,0.20862044549246034,-5488.503205337555
5.0,1.0,-6531.850588291038,0.18396307211911528,-5612.035227695461
6.0,1.0,-6531.994899395651,0.1780077773037152,-5641.956012877075
7.0,1.0,-6532.111033394844,0.1754738512609052,-5654.741777090318
8.0,1.0,-6531.980714936553,0.16924312728270396,-5685.7650785230335
9.0,1.0,-6532.115806533902,0.16220709835937397,-5721.0803147370325
10.0,1.0,-6532.319101921334,0.14840091189106622,-5790.314542466002
11.0,1.0,-6532.3737052526685,0.1436287791744778,-5814.229809380279
12.0,1.0,-6532.534601534277,0.13198153919063638,-5872.626905581094
13.0,1.0,-6532.805156140381,0.12308744782398522,-5917.367917020455
14.0,1.0,-6532.986868993763,0.11672464741673828,-5949.3636319100715
15.0,0.0,-6532.986868993763,0.11672464741673828,-5949.3636319100715
16.0,1.0,-6533.110891024562,0.11452538553617155,-5960.483963343704
17.0,1.0,-6533.176597232805,0.10649700421456083,-6000.69157616
18.0,1.0,-6533.265441571792,0.1019960499160172,-6023.285191991706
19.0,1.0,-6533.438455694391,0.0960591711867714,-6053.142599760535
20.0,1.0,-6533.567917506869,0.08848693450034825,-6091.133245005128
21.0,1.0,-6533.714796276112,0.08135341955285781,-6126.947698511823
22.0,1.0,-6533.991919082201,0.07349301737459699,-6166.526832209216
23.0,1.0,-6533.958473129075,0.07201933790754275,-6173.861783591361
24.0,1.0,-6534.3548567461885,0.0660046944531664,-6204.331384480356
25.0,1.0,-6534.617892673669,0.06002277920209791,-6234.503996663179
26.0,1.0,-6534.784828967188,0.05547289642344356,-6257.420346849971
27.0,1.0,-6534.953027421897,0.05014868356699791,-6284.209609586907
28.0,0.0,-6534.953027421897,0.05014868356699791,-6284.209609586907
29.0,1.0,-6534.989615009726,0.04756107194043055,-6297.184255307573
30.0,1.0,-6535.0945544055785,0.04457484086386466,-6312.220350086255
31.0,0.0,-6535.0945544055785,0.04457484086386466,-6312.220350086255
32.0,1.0,-6535.337592812356,0.04060625396949455,-6332.306322964883
33.0,1.0,-6535.315814681378,0.03918031890801917,-6339.4142201412815
34.0,1.0,-6535.599862174619,0.03573276276969099,-6356.936048326164
35.0,1.0,-6535.638337883788,0.03563308755560034,-6357.472900105787
36.0,1.0,-6535.624406202472,0.034909810240760314,-6361.07535499867
37.0,0.0,-6535.624406202472,0.034909810240760314,-6361.07535499867
38.0,1.0,-6535.717992691379,0.03231401183713334,-6374.147933505712
39.0,1.0,-6535.984017291571,0.02962237852110585,-6387.872124686041
40.0,1.0,-6536.369205739597,0.027156596006108532,-6400.586225709055
41.0,1.0,-6536.534928718839,0.0246936216360332,-6413.066820538673
42.0,0.0,-6536.534928718839,0.0246936216360332,-6413.066820538673
43.0,1.0,-6536.529763623496,0.022385866489976997,-6424.6004311736115
44.0,1.0,-6536.5588602000435,0.02022725586532353,-6435.422580873425
45.0,1.0,-6536.603039180446,0.019068787805456167,-6441.2591001531655
46.0,0.0,-6536.603039180446,0.019068787805456167,-6441.2591001531655
47.0,0.0,-6536.603039180446,0.019068787805456167,-6441.2591001531655
48.0,0.0,-6536.603039180446,0.019068787805456167,-6441.2591001531655
49.0,1.0,-6536.6954585421,0.016897152319671406,-6452.2096969437425
