step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda
0,9.156159422449163e-15,-6540.432952912901,-15.572459411697382,-46.71737823509215,135.0,224.0,359.0,273.0,86.0,1.5476190476190477,0.5214285714285715,0.6396396396396397,0.7095238095238096,2.746594005449591,1.900110035944954,2.022544414943291,3.0841114849988185,250.0,163.0,rejected_relaxation,0,-0.10346030069588702,0.40532835711447035,0.0,0.40532835711447035,,0,0,13,0.026023974786841014,0.8421359052888299,115422431475590.86,64,64,0,0.35,3600.0,0.0
1,2.1399255125378688e-14,,,,,,,,,,,,,,,,,,,relaxation,1,-0.52263666914556,-0.28494162080627206,0.0,-0.28494162080627206,,0,1,11,0.006413896220504867,0.9837503731732287,120020775742810.9,64,64,0,0.35,3600.0,0.0
2,2.2742171219534746e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.01913888056640219,,,,,0,0,12,0.0020855256887460406,0.8436596133419692,100176061463197.5,64,64,0,0.35,3600.0,0.0
3,3.082344564812005e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.05705095429021219,,,,,0,0,12,0.0036577372800111058,0.9500428125315937,108060044213734.8,64,64,0,0.35,3600.0,0.0
4,4.016498959844592e-14,,,,,,,,,,,,,,,,,,,relaxation,1,-0.1564044746776228,,,,,0,0,11,0.02682045489884992,0.7588630437932768,102254779425913.55,64,64,0,0.35,3600.0,0.0
5,4.503348697617649e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.05026963403676212,,,,,0,0,11,0.0028258744358307455,0.9604459382486036,117397007267023.97,64,64,0,0.35,3600.0,0.0
6,4.8057379977868694e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.24783345275904684,-0.20248045132116133,0.0,-0.20248045132116133,,0,1,11,0.000503160840741701,0.9882740474648648,104863011822257.97,64,64,0,0.35,3600.0,0.0
7,9.829445270012851e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.026265572143511655,,,,,0,0,11,0.010262336895434765,0.7469967323851762,103376683348570.16,64,64,0,0.35,3600.0,0.0
8,1.0306431725618195e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.2926932475875522,-0.30641494980802264,0.0,-0.30641494980802264,,0,1,11,0.010142751913877479,0.9885839778839406,109136230554406.44,64,64,0,0.35,3600.0,0.0
9,1.0495043875912308e-13,,,,,,,,,,,,,,,,,,,surface,1,0.04996814674203744,,,,,0,0,12,0.01991323235433886,0.595197206873992,117399789869970.83,64,64,0,0.35,3600.0,0.0
10,1.101189107568257e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.05039199944008711,,,,,0,0,12,0.000463772115717416,0.4626113973045023,93686910934042.83,64,64,0,0.35,3600.0,0.0
11,1.1792546534149477e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.016369751821418994,,,,,0,0,11,0.013777958947720086,0.6513721478098978,115478734049576.81,64,64,0,0.35,3600.0,0.0
12,1.1932997895855205e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.21454776281229454,,,,,0,0,11,0.010250252061459894,0.08504599028737073,110565599082261.42,64,64,0,0.35,3600.0,0.0
13,1.2141102210449253e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.20501332592076177,-0.44522956675437797,0.0,-0.44522956675437797,,0,1,11,0.05129709835680239,0.9646746362274436,113565165868448.66,64,64,0,0.35,3600.0,0.0
14,1.2441886320395911e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.21639344962268378,,,,,0,0,11,0.02377738238279878,0.8687018222935405,123174776865033.9,64,64,0,0.35,3600.0,0.0
15,1.3411113000767743e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.05375767898704685,,,,,0,0,11,0.0031627906175793197,0.8757541205687697,107059686196174.19,64,64,0,0.35,3600.0,0.0
16,1.459712578008994e-13,,,,,,,,,,,,,,,,,,,surface,1,0.026045585903266402,,,,,0,0,11,0.001149242301033724,0.5426704703219145,103248419151685.5,64,64,0,0.35,3600.0,0.0
