step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda
0,7.407208010850572e-14,-6562.316446652094,-15.624562968219271,-46.87368890465781,127.0,218.0,345.0,203.0,142.0,1.4047619047619047,0.5785714285714286,0.7545787545787546,0.7327380952380952,2.5711481844946027,1.9000985840787872,2.084704143904343,2.884276718416322,231.0,133.0,surface_compression,1,0.22234398373310457,0.07768234558611553,0.0,0.07768234558611553,0.2,0,0,20,0.06614490611839227,0.5021012266790068,55114078546627.44,128,128,0,0.35,2200.0,0.75
1,8.179636918565635e-14,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.07999444309261897,0.09558781701331043,0.0,0.09558781701331043,0.2,0,1,19,0.06405960701298173,0.5079841501123048,56396120213857.41,128,128,0,0.35,2200.0,0.75
2,8.75820086618367e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.4635099630900124,0.11730315767486843,0.0,0.11730315767486843,0.2,0,1,17,0.1623732307731646,0.650623582200327,53610372090453.016,128,128,0,0.35,2200.0,0.75
3,9.853034375277632e-14,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,0.05326192611836902,0.20380758510287222,0.0,0.20380758510287222,0.2,0,0,20,0.029960681911098994,0.28663709061970327,59434032916750.45,128,128,0,0.35,2200.0,0.75
4,1.019459885432839e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.32997690310831174,-0.05435666789617244,0.0,-0.05435666789617244,0.2,0,1,19,0.15263401753758943,0.3283195733288713,55030857935708.54,128,128,0,0.35,2200.0,0.75
5,1.0254587790107224e-13,,,,,,,,,,,,,,,,,,,rejected_random_surface,0,-0.02374807076355441,0.5369026850595304,0.0,0.5369026850595304,0.2,0,0,20,0.054674360961986794,0.3184185724066358,56102997960700.61,128,128,0,0.35,2200.0,0.75
6,1.2494696395898964e-13,,,,,,,,,,,,,,,,,,,surface,1,0.13082302303801074,0.02228836838192194,0.0,0.02228836838192194,0.2,0,0,21,0.03874119201986392,0.20598778812941856,56606872411633.875,128,128,0,0.35,2200.0,0.75
7,1.6236365282784838e-13,,,,,,,,,,,,,,,,,,,surface,1,0.000579899702975498,-0.1998227257163201,0.0,-0.1998227257163201,0.2,0,0,21,0.021510125481386894,0.31492884810292743,53805904282307.18,128,128,0,0.35,2200.0,0.75
8,1.8110140123903508e-13,,,,,,,,,,,,,,,,,,,rejected_snap_to_fluorite_site,0,0.12905546651941116,0.5872085760594548,0.0,0.5872085760594548,0.2,0,0,19,0.07612150130375453,0.29077267899265224,61745675321287.586,128,128,0,0.35,2200.0,0.75
9,2.1887028211360316e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.014767547779823816,-0.06408348917810258,0.0,-0.06408348917810258,0.2,0,0,21,0.03392046418412908,0.41510538148045684,60143656799910.34,128,128,0,0.35,2200.0,0.75
10,2.290679233468878e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.1427160254032639,-0.06059207140231493,0.0,-0.06059207140231493,0.2,0,1,19,0.038869537416497256,0.6831921273899032,54225938904438.69,128,128,0,0.35,2200.0,0.75
11,2.804997885771907e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.1281033216590073,0.011934958819860952,0.0,0.011934958819860952,0.2,0,1,20,0.02797263247211225,0.766174564628157,53431658447758.484,128,128,0,0.35,2200.0,0.75
12,2.8503591481521995e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.13390650413099225,0.050848770795777654,0.0,0.050848770795777654,0.2,0,0,20,0.030514215496414823,0.2811861452469777,55524535931380.27,128,128,0,0.35,2200.0,0.75
