step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda
0,2.63397226079536e-14,-6539.92596996829,-15.571252309448308,-46.71375692834493,135.0,222.0,357.0,271.0,86.0,1.5380952380952382,0.5238095238095238,0.6426426426426426,0.7113095238095238,2.6906318082788676,1.900761173353184,2.0095508103034687,3.0997795620672774,250.0,163.0,coordination,1,-0.029823706387724747,-0.08044765602853587,0.0,-0.08044765602853587,,0,0,13,0.0049116850260074885,0.7972862466444833,103343328107777.14,64,64,0,0.35,3600.0,0.0
1,2.8942480247140443e-14,,,,,,,,,,,,,,,,,,,relaxation,1,-0.40874328032380736,-0.3164910588103673,0.0,-0.3164910588103673,,0,1,11,0.01690156256546954,0.9977831520838516,109301519801740.4,64,64,0,0.35,3600.0,0.0
2,3.80962993052467e-14,,,,,,,,,,,,,,,,,,,relaxation,1,-0.07733325036886383,-0.12029866149454804,0.0,-0.12029866149454804,,0,1,12,0.001105352601601453,0.9870381617090775,107729175553484.8,64,64,0,0.35,3600.0,0.0
3,4.659417961793296e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.18802725501780648,,,,,0,0,12,0.007016338790075377,0.08961431774073261,108488413306851.64,64,64,0,0.35,3600.0,0.0
4,5.045467299589226e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.28853941685197526,-0.2748589930379808,0.0,-0.2748589930379808,,0,1,12,0.003553034827499496,0.9947228986527726,98311472437058.19,64,64,0,0.35,3600.0,0.0
5,5.793891737169911e-14,,,,,,,,,,,,,,,,,,,relaxation,1,-0.2697214191960179,,,,,0,0,12,0.003136145518459116,0.9081035374044608,105797393920107.72,64,64,0,0.35,3600.0,0.0
6,7.504207016218238e-14,,,,,,,,,,,,,,,,,,,relaxation,1,-0.21815197637975436,-0.5830961662039797,0.0,-0.5830961662039797,,0,1,12,0.036965038383502735,0.9508870862655332,119505264534997.53,64,64,0,0.35,3600.0,0.0
7,7.621652274258135e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.05326728675593269,,,,,0,0,12,0.0017618470411613907,0.7738188160490386,102872050818894.53,64,64,0,0.35,3600.0,0.0
8,9.05178076868242e-14,,,,,,,,,,,,,,,,,,,random_surface,1,0.22369840640951183,,,,,0,0,12,0.0022616188026308853,0.04895589572219364,105214091372938.22,64,64,0,0.35,3600.0,0.0
9,9.252745010600322e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.220748883374352,-0.20475200756185075,0.0,-0.20475200756185075,,0,1,12,0.007852448192622319,0.9964251340148594,115117778503445.0,64,64,0,0.35,3600.0,0.0
10,9.521122083540231e-14,,,,,,,,,,,,,,,,,,,surface,1,0.0536683746922192,,,,,0,0,12,0.015244030622785214,0.18811456985652641,104632260564454.28,64,64,0,0.35,3600.0,0.0
11,9.641946737258199e-14,,,,,,,,,,,,,,,,,,,relaxation,1,-0.10125746780637171,,,,,0,0,12,0.0029416653635844295,0.929217322840503,112395961330738.75,64,64,0,0.35,3600.0,0.0
12,9.977010387133519e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.5690980657253144,-0.6508089512029471,0.0,-0.6508089512029471,,0,1,12,0.01027452160119563,0.9980690792342202,114409637467100.55,64,64,0,0.35,3600.0,0.0
13,1.1317776894634604e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.01828341300678959,,,,,0,0,11,0.0050307125014196,0.8353717354758027,107856356146859.89,64,64,0,0.35,3600.0,0.0
14,1.2278090760534096e-13,,,,,,,,,,,,,,,,,,,surface,1,0.03606700176322112,,,,,0,0,10,0.014360232291761586,0.9249650293549248,111283769788913.28,64,64,0,0.35,3600.0,0.0
15,1.2737890800510773e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.04923656043293462,,,,,0,0,12,0.01443341358497981,0.7798773457356808,101737062944587.95,64,64,0,0.35,3600.0,0.0
