central_is_pu,displacement_length,displacement_x,displacement_y,displacement_z,radius_before,radius_after,radial_displacement,local_energy_before,local_energy_after,local_energy_delta,force_before_x,force_before_y,force_before_z,force_before_norm,force_after_x,force_after_y,force_after_z,force_after_norm,force_projection_before,pu_count_before_r_2.0,pu_count_before_r_3.0,pu_count_before_r_4.0,pu_count_before_r_5.0,pu_count_before_r_6.0,o_count_before_r_2.0,o_count_before_r_3.0,o_count_before_r_4.0,o_count_before_r_5.0,o_count_before_r_6.0,pu_count_after_r_2.0,pu_count_after_r_3.0,pu_count_after_r_4.0,pu_count_after_r_5.0,pu_count_after_r_6.0,o_count_after_r_2.0,o_count_after_r_3.0,o_count_after_r_4.0,o_count_after_r_5.0,o_count_after_r_6.0,nearest_any_before_1,nearest_any_before_2,nearest_any_before_3,nearest_any_before_4,nearest_any_before_5,nearest_any_before_6,nearest_any_before_7,nearest_any_before_8,nearest_any_before_9,nearest_any_before_10,nearest_any_before_11,nearest_any_before_12,nearest_any_before_13,nearest_any_before_14,nearest_any_before_15,nearest_any_before_16,nearest_pu_before_1,nearest_pu_before_2,nearest_pu_before_3,nearest_pu_before_4,nearest_pu_before_5,nearest_pu_before_6,nearest_pu_before_7,nearest_pu_before_8,nearest_pu_before_9,nearest_pu_before_10,nearest_pu_before_11,nearest_pu_before_12,nearest_pu_before_13,nearest_pu_before_14,nearest_pu_before_15,nearest_pu_before_16,nearest_o_before_1,nearest_o_before_2,nearest_o_before_3,nearest_o_before_4,nearest_o_before_5,nearest_o_before_6,nearest_o_before_7,nearest_o_before_8,nearest_o_before_9,nearest_o_before_10,nearest_o_before_11,nearest_o_before_12,nearest_o_before_13,nearest_o_before_14,nearest_o_before_15,nearest_o_before_16,nearest_any_after_1,nearest_any_after_2,nearest_any_after_3,nearest_any_after_4,nearest_any_after_5,nearest_any_after_6,nearest_any_after_7,nearest_any_after_8,nearest_any_after_9,nearest_any_after_10,nearest_any_after_11,nearest_any_after_12,nearest_any_after_13,nearest_any_after_14,nearest_any_after_15,nearest_any_after_16,nearest_pu_after_1,nearest_pu_after_2,nearest_pu_after_3,nearest_pu_after_4,nearest_pu_after_5,nearest_pu_after_6,nearest_pu_after_7,nearest_pu_after_8,nearest_pu_after_9,nearest_pu_after_10,nearest_pu_after_11,nearest_pu_after_12,nearest_pu_after_13,nearest_pu_after_14,nearest_pu_after_15,nearest_pu_after_16,nearest_o_after_1,nearest_o_after_2,nearest_o_after_3,nearest_o_after_4,nearest_o_after_5,nearest_o_after_6,nearest_o_after_7,nearest_o_after_8,nearest_o_after_9,nearest_o_after_10,nearest_o_after_11,nearest_o_after_12,nearest_o_after_13,nearest_o_after_14,nearest_o_after_15,nearest_o_after_16,coord_deviation_before,coord_deviation_after,coord_deviation_delta,delta_E,is_energy_lowering,atom_type,event_kind,uncertainty,good_event_probability,step
1.0,0.3367467037502306,0.1004193628014543,0.19020067320784723,0.2591100113320154,9.01627206800584,9.1077205581766,0.08562371495657578,-52.584607220096984,-41.57454839272839,11.010058827368596,-2.6126344773569787,-4.104472104576867,-0.1273547078989895,4.8671109902228515,-5.870575976315868,-7.912791066230217,-2.2239250088603715,10.100582517684034,-3.1953730050692553,0.0,0.0,5.0,10.0,15.0,1.0,5.0,14.0,20.0,31.0,1.9202379119553754,2.0132062166795706,2.2049318696054985,2.2404065306757417,2.2502900838603734,3.31284558399891,3.3275447689028024,3.399832583520106,3.450355065706498,3.462065383900801,3.505084655865877,3.508078628628861,3.511484975833611,3.5985409153773116,3.7296056061868432,3.765706729774085,3.399832583520106,3.450355065706498,3.508078628628861,3.511484975833611,3.7296056061868432,4.018940684777241,4.110284980695499,4.557766237459809,4.658525673424181,4.816084698631068,5.012346865586539,5.088129933502288,5.597984368761409,5.605436821490151,5.628470950919818,999.0,1.9202379119553754,2.0132062166795706,2.2049318696054985,2.2404065306757417,2.2502900838603734,3.31284558399891,3.3275447689028024,3.462065383900801,3.505084655865877,3.5985409153773116,3.765706729774085,3.858035865149682,3.9271837398638474,3.9720657036946667,4.363705398026963,4.442672037707828,0.0,0.0,6.0,9.0,15.0,2.0,5.0,14.0,20.0,30.0,1.9063061170019628,1.9176649140003237,2.013006221595238,2.3257939922704907,2.5163070131799197,3.131952332037039,3.1861826310272483,3.2655156885685814,3.357212972962278,3.408965283363043,3.4165923995847884,3.5597458566760922,3.562764859634827,3.567482575631325,3.648624081722401,3.7446742299521403,3.131952332037039,3.357212972962278,3.408965283363043,3.567482575631325,3.7446742299521403,3.8982113423889815,4.099819038634419,4.269264891404322,4.978087497526045,5.092620223521129,5.14535657419692,5.168448739652826,5.507556345890721,5.510619234594817,5.747078645579024,999.0,1.9063061170019628,1.9176649140003237,2.013006221595238,2.3257939922704907,2.5163070131799197,3.1861826310272483,3.2655156885685814,3.4165923995847884,3.5597458566760922,3.562764859634827,3.648624081722401,3.7974644818561756,3.8712229758690753,3.9963421811221105,4.118742654195349,4.533975342769971,3.0,2.0,-1.0,2.551856026222758,0,Pu,random_bulk,0.17266250305483924,0.3304855072775767,1361
1.0,0.1761124137919566,0.07644277074204983,-0.06614547813489885,0.14421116744279333,7.423597883096432,7.329854127812031,-0.0952408521764235,-42.27412543470685,-71.11970028163884,-28.84557484693199,5.101943892486101,-3.351167044073184,10.782895784904142,12.390762428013135,2.1236099425533808,-0.18848035387911133,6.572366145253258,6.909503656499585,12.302853709487975,0.0,1.0,5.0,9.0,18.0,1.0,6.0,10.0,19.0,36.0,1.9011168427705658,2.0551018489881816,2.1711543841240974,2.235651410861816,2.3108923843601885,2.69936075092413,2.80450396037753,3.2431808789789733,3.412626417469651,3.5590402147524784,3.6026866262921287,3.633378903707691,3.8680349984263276,3.910896450949161,3.9187577795382187,4.037994382781822,2.80450396037753,3.2431808789789733,3.5590402147524784,3.6026866262921287,3.9187577795382187,4.070668321604766,4.764843467266144,4.769426661069098,4.900809224774036,5.2726966082644475,5.378815757757667,5.613384277068542,5.624804036835085,5.717754624584962,5.829604679289006,5.924959135821875,1.9011168427705658,2.0551018489881816,2.1711543841240974,2.235651410861816,2.3108923843601885,2.69936075092413,3.412626417469651,3.633378903707691,3.8680349984263276,3.910896450949161,4.037994382781822,4.367370396342517,4.5285929405416985,4.5427602388619155,4.578077121255518,4.752736892981866,0.0,1.0,5.0,9.0,17.0,0.0,6.0,8.0,19.0,37.0,2.0054247419708053,2.066683514188274,2.089751218574169,2.200269519943099,2.358468339861961,2.6108605281072186,2.960486423335363,3.323533770568936,3.4222486760842443,3.4777679725105104,3.568201713993443,3.631367075674774,3.9028654832377234,4.012221500174909,4.013981421930991,4.022666314270382,2.960486423335363,3.323533770568936,3.4777679725105104,3.631367075674774,3.9028654832377234,4.013981421930991,4.703330618414894,4.802109171337017,4.822626295770011,5.273735689215898,5.281525566144045,5.533722626476449,5.5890775652516,5.76680929746068,5.845664683076305,5.855772655430144,2.0054247419708053,2.066683514188274,2.089751218574169,2.200269519943099,2.358468339861961,2.6108605281072186,3.4222486760842443,3.568201713993443,4.012221500174909,4.022666314270382,4.098285446216294,4.256819706591754,4.4933623788371735,4.6428032534345,4.7075013872093665,4.791706585481203,2.0,2.0,0.0,-1.722768207981602,1,Pu,relaxation,0.1561299542463526,0.5726394320114926,1599
1.0,0.18589261290630565,0.03851414355130364,-0.10887058256083396,0.14567058911292907,7.422649227960823,7.376546354132377,-0.048287443485580124,-41.5557852442672,-61.228720266932086,-19.672935022664888,5.098733093069068,-3.069294985193243,10.460843335694088,12.035235525506987,1.1119805880305782,0.2751331123705274,6.31510913375331,6.418161919809596,11.051361592993182,0.0,1.0,6.0,9.0,18.0,1.0,6.0,10.0,19.0,36.0,1.9011168427705658,2.0551018489881816,2.1711543841240974,2.235651410861816,2.3108923843601885,2.69936075092413,2.80450396037753,3.2431808789789733,3.412626417469651,3.5590402147524784,3.6026866262921287,3.633378903707691,3.8680349984263276,3.910896450949161,3.9187577795382187,3.9470009850961607,2.80450396037753,3.2431808789789733,3.5590402147524784,3.6026866262921287,3.9187577795382187,3.9470009850961607,4.764843467266144,4.769426661069098,4.900809224774036,5.2726966082644475,5.378815757757667,5.613384277068542,5.624804036835085,5.717754624584962,5.829604679289006,5.924959135821875,1.9011168427705658,2.0551018489881816,2.1711543841240974,2.235651410861816,2.3108923843601885,2.69936075092413,3.412626417469651,3.633378903707691,3.8680349984263276,3.910896450949161,4.037994382781822,4.367370396342517,4.5285929405416985,4.5427602388619155,4.578077121255518,4.752736892981866,0.0,1.0,6.0,9.0,17.0,0.0,6.0,8.0,19.0,36.0,2.038297798116256,2.059457466511936,2.07735796478143,2.180816584105582,2.4015954853986305,2.6577242027591215,2.984811162985316,3.3286089176017284,3.395580430846483,3.5259861748438808,3.588357939220183,3.634832899868434,3.7623150445212286,3.9806336824735835,4.025444984788824,4.039560727234518,2.984811162985316,3.3286089176017284,3.5259861748438808,3.634832899868434,3.7623150445212286,3.9806336824735835,4.749960959764004,4.766003219563973,4.870879527916137,5.257120047461601,5.2937241635443115,5.540414873660022,5.544538929554338,5.788563267732129,5.8281270928745394,5.8811990491749375,2.038297798116256,2.059457466511936,2.07735796478143,2.180816584105582,2.4015954853986305,2.6577242027591215,3.395580430846483,3.588357939220183,4.025444984788824,4.039560727234518,4.076446469821406,4.211764416658412,4.448078643541258,4.675229558554944,4.718366554272415,4.778323014260904,2.0,2.0,0.0,-1.6741006107028937,1,Pu,relaxation,0.15632791041527336,0.580068839083226,1618
1.0,0.22021587379342114,0.09495133189457217,-0.12852826953388544,0.15152478204132713,7.4230406001094185,7.344628280878302,-0.08126469075544744,-41.58804307725798,-88.37915884954718,-46.7911157722892,5.105843334355161,-3.0542258318222095,10.466042324927553,12.038935730949145,0.3794241220600677,3.965704611952991,4.476356904370252,5.992374059500082,11.185505048571056,0.0,1.0,6.0,9.0,18.0,1.0,6.0,10.0,19.0,36.0,1.9011168427705658,2.0551018489881816,2.1711543841240974,2.235651410861816,2.3108923843601885,2.69936075092413,2.80450396037753,3.2431808789789733,3.412626417469651,3.5590402147524784,3.6026866262921287,3.633378903707691,3.8680349984263276,3.910896450949161,3.9187577795382187,3.9470009850961607,2.80450396037753,3.2431808789789733,3.5590402147524784,3.6026866262921287,3.9187577795382187,3.9470009850961607,4.764843467266144,4.769426661069098,4.900809224774036,5.2726966082644475,5.378815757757667,5.613384277068542,5.624804036835085,5.717754624584962,5.829604679289006,5.924959135821875,1.9011168427705658,2.0551018489881816,2.1711543841240974,2.235651410861816,2.3108923843601885,2.69936075092413,3.412626417469651,3.633378903707691,3.8680349984263276,3.910896450949161,4.037994382781822,4.367370396342517,4.5285929405416985,4.5427602388619155,4.578077121255518,4.739321322828439,0.0,0.0,5.0,9.0,16.0,0.0,6.0,8.0,20.0,37.0,2.0252652534296725,2.0256923737935373,2.0475752876506714,2.236920020069795,2.4199945316346416,2.6090169636214684,3.016174499338076,3.3081403940833316,3.446087110172266,3.5028456472501963,3.6036098399011753,3.681082866341805,3.738880085228994,4.039063126028972,4.045818183752383,4.063681884736542,3.016174499338076,3.3081403940833316,3.5028456472501963,3.681082866341805,3.738880085228994,4.039063126028972,4.699717688128519,4.73725904064592,4.881555841714777,5.225008367140157,5.235027409473684,5.556598265974733,5.5770846811533525,5.737723148119218,5.84465469459671,5.881545831812938,2.0252652534296725,2.0256923737935373,2.0475752876506714,2.236920020069795,2.4199945316346416,2.6090169636214684,3.446087110172266,3.6036098399011753,4.045818183752383,4.063681884736542,4.079795432089758,4.203352871466516,4.466156838087385,4.7074783706304295,4.728382977873114,4.7611570470765106,2.0,2.0,0.0,-1.8653734228997365,1,Pu,relaxation,0.15794820784537245,0.5678380952278183,1624
1.0,0.34619166108291755,0.0730667569600582,-0.33839222413802916,0.0007860493669358358,8.541284085338527,8.215849881284806,-0.3262503134873833,-125.38996306880632,-125.50433043899459,-0.11436737018826193,0.7049811217239923,-3.6992961659379313,1.4601739733483228,4.039046736267621,0.2832876074042361,3.535228723295527,0.07015716340822453,3.547254716270038,3.76806161756272,0.0,0.0,6.0,9.0,11.0,0.0,7.0,10.0,19.0,31.0,2.01176532636582,2.0421004722826264,2.207532385551921,2.209937127276443,2.3258760232745925,2.450591692738448,2.7117944604356,3.1404418149857074,3.343225764907611,3.3935732418098,3.5676499339227266,3.607377264567942,3.6262832023983678,3.7333879583094687,3.8686897220795675,3.875045499264703,3.1404418149857074,3.343225764907611,3.3935732418098,3.5676499339227266,3.607377264567942,3.875045499264703,4.159882657256075,4.223930747380028,4.934869221053483,5.372755494529003,5.770178031324866,999.0,999.0,999.0,999.0,999.0,2.01176532636582,2.0421004722826264,2.207532385551921,2.209937127276443,2.3258760232745925,2.450591692738448,2.7117944604356,3.6262832023983678,3.7333879583094687,3.8686897220795675,4.063129857329505,4.198011521843177,4.293726666143332,4.752543991874687,4.757918919987489,4.82931669684553,0.0,1.0,7.0,9.0,11.0,0.0,7.0,11.0,21.0,31.0,2.0098726591566045,2.1181212488899814,2.126430634176676,2.2359760428760684,2.267541171615937,2.4547917058891646,2.6931861868603155,2.8430676270129807,3.388673211523708,3.3891346493696832,3.4715155811232017,3.600839260435433,3.6820428752546275,3.6998370452020635,3.7224493686871436,3.8503790066325623,2.8430676270129807,3.388673211523708,3.3891346493696832,3.4715155811232017,3.6998370452020635,3.8503790066325623,3.881561293389079,4.032967243132355,4.873354677492508,5.325706394693561,5.721666312545512,999.0,999.0,999.0,999.0,999.0,2.0098726591566045,2.1181212488899814,2.126430634176676,2.2359760428760684,2.267541171615937,2.4547917058891646,2.6931861868603155,3.600839260435433,3.6820428752546275,3.7224493686871436,3.8546998728469726,4.2252311109892124,4.348405958762755,4.499147280208953,4.51256808137767,4.62036353065703,1.0,1.0,0.0,2.097037203007808,0,Pu,coordination,0.14662704065186827,0.508552480971739,1988
1.0,0.323428824822883,0.002382789093618245,-0.2505800911008529,-0.20447529187247715,9.02163826263966,8.872340655916913,-0.1538597730919107,-55.006850409527075,-56.64735157192105,-1.6405011623939743,-0.37743860849120825,-8.98324548066722,-2.2280110456327176,9.26310922361219,-1.392658521216506,-3.68709245690866,1.141876079452471,4.103416810821858,8.365662289561383,0.0,0.0,5.0,11.0,15.0,1.0,6.0,14.0,21.0,31.0,1.9202379119553754,2.0512968831047793,2.1863443634468784,2.2747776483766304,2.38551987295661,2.8617223273764125,3.0035986401481223,3.070073017712012,3.2753797154829205,3.360047600888615,3.399832583520106,3.508078628628861,3.5635622943313114,3.6268495058360193,3.6324329750515654,3.786557485526754,3.070073017712012,3.399832583520106,3.508078628628861,3.6268495058360193,3.6324329750515654,4.018940684777241,4.116757757459884,4.557766237459809,4.658525673424181,4.792090579709246,4.885213530354484,5.0732195377646265,5.597984368761409,5.605436821490151,5.616017783421176,999.0,1.9202379119553754,2.0512968831047793,2.1863443634468784,2.2747776483766304,2.38551987295661,2.8617223273764125,3.0035986401481223,3.2753797154829205,3.360047600888615,3.5635622943313114,3.786557485526754,3.858035865149682,3.9156046543463043,3.9271837398638474,4.296414860049318,4.323108321355193,0.0,0.0,6.0,12.0,15.0,1.0,6.0,11.0,21.0,31.0,1.9886046475906474,2.0513105487516077,2.1056894556008574,2.357663608696293,2.4190961525991974,2.7734364863196475,3.1980658698774147,3.3653534562847853,3.45511631152928,3.467298911754199,3.47996981857276,3.4979553574917244,3.508673534318174,3.5233067571762566,3.752541434274915,3.765624248982814,3.3653534562847853,3.467298911754199,3.47996981857276,3.752541434274915,3.765624248982814,3.9227834208785426,4.235641778458786,4.411079763554433,4.493159664392655,4.82516299641114,4.8961292131894885,4.907467574827677,5.479922301467292,5.657524836207217,5.783823941031808,999.0,1.9886046475906474,2.0513105487516077,2.1056894556008574,2.357663608696293,2.4190961525991974,2.7734364863196475,3.1980658698774147,3.45511631152928,3.4979553574917244,3.508673534318174,3.5233067571762566,4.076627066725609,4.080431126659801,4.083227757743967,4.094862476074998,4.28565803477052,1.0,1.0,0.0,-1.9889849532737571,1,Pu,relaxation,0.17987167854118677,0.5809049620759743,2014
1.0,0.26214268059094914,0.057528309938471904,-0.11529563820669578,0.22828971582956206,7.41669291338004,7.319641985585798,-0.10104865987606473,-41.68885081632868,-79.01865864744244,-37.329807831113754,3.9820683424861647,-2.858950404415819,8.091262972661374,9.460391228268568,-0.30146468419241,7.294939217544249,0.7267884545086241,7.337250207065816,9.177667263448754,0.0,1.0,6.0,9.0,18.0,1.0,6.0,10.0,19.0,36.0,1.9011168427705658,2.0551018489881816,2.129476096429635,2.281436872408093,2.3108923843601885,2.69936075092413,2.8474812167710164,3.2431808789789733,3.284905449358587,3.5590402147524784,3.561467279610112,3.6026866262921287,3.8680349984263276,3.910896450949161,3.9187577795382187,3.9470009850961607,2.8474812167710164,3.2431808789789733,3.5590402147524784,3.6026866262921287,3.9187577795382187,3.9470009850961607,4.644566434005965,4.764843467266144,4.769426661069098,5.273882703708661,5.278952901017733,5.543241069716896,5.652963040287033,5.717754624584962,5.829604679289006,5.924959135821875,1.9011168427705658,2.0551018489881816,2.129476096429635,2.281436872408093,2.3108923843601885,2.69936075092413,3.284905449358587,3.561467279610112,3.8680349984263276,3.910896450949161,4.1504858832249845,4.367370396342517,4.5285929405416985,4.5427602388619155,4.547780824278531,4.776034980013283,0.0,0.0,5.0,9.0,17.0,0.0,6.0,8.0,20.0,38.0,2.031466952823004,2.062579748151554,2.1006500716579684,2.2368721759090238,2.402587126290835,2.6263738015625404,3.0831033521118076,3.2519894216034486,3.3940903783508944,3.4513474050099586,3.4773972843389687,3.618202535264693,3.6860304625712934,4.010427809609666,4.052012843527007,4.111289002430051,3.0831033521118076,3.3940903783508944,3.4773972843389687,3.618202535264693,3.6860304625712934,4.010427809609666,4.489427523273533,4.7343412116115875,4.876457968907224,5.163735432624819,5.2899831336850385,5.4435449924636625,5.505946608265483,5.723362093871711,5.764000646838582,5.905419511771103,2.031466952823004,2.062579748151554,2.1006500716579684,2.2368721759090238,2.402587126290835,2.6263738015625404,3.2519894216034486,3.4513474050099586,4.052012843527007,4.111289002430051,4.172138815216275,4.249582241936881,4.372557450484909,4.707058470872972,4.781008718850111,4.787755909121742,2.0,2.0,0.0,-1.7014019450449567,1,Pu,relaxation,0.15876668809639885,0.5358146681523493,2014
1.0,0.3188696223343944,0.021792764849076586,-0.2588070141926639,-0.1849914615667178,9.021539157614628,8.864439846926986,-0.16136674450818633,-55.00685040952702,-56.66446394596578,-1.6576135364387596,-0.37743860849120847,-8.98324548066722,-2.228011045632718,9.26310922361219,-1.7619481658257499,-3.3705171526510265,0.7759987443625331,3.881626111132258,8.55793195197527,0.0,0.0,5.0,11.0,15.0,1.0,6.0,14.0,21.0,31.0,1.9202379119553754,2.0512968831047793,2.1863443634468784,2.2747776483766304,2.38551987295661,2.8617223273764125,3.0035986401481223,3.070073017712012,3.2753797154829205,3.360047600888615,3.399832583520106,3.508078628628861,3.5635622943313114,3.6268495058360193,3.6324329750515654,3.786557485526754,3.070073017712012,3.399832583520106,3.508078628628861,3.6268495058360193,3.6324329750515654,4.018940684777241,4.116757757459884,4.557766237459809,4.658525673424181,4.792090579709246,4.885213530354484,5.0732195377646265,5.597984368761409,5.605436821490151,5.616017783421176,999.0,1.9202379119553754,2.0512968831047793,2.1863443634468784,2.2747776483766304,2.38551987295661,2.8617223273764125,3.0035986401481223,3.2753797154829205,3.360047600888615,3.5635622943313114,3.786557485526754,3.858035865149682,3.9156046543463043,3.9271837398638474,4.296414860049318,4.323108321355193,0.0,0.0,6.0,12.0,15.0,0.0,6.0,11.0,21.0,31.0,2.006731920332712,2.0336055465047216,2.122885685755178,2.3535967570317906,2.392476553167691,2.7771635192177713,3.187505098467673,3.3501267992648662,3.457256862775772,3.478566601806672,3.479510181966158,3.4900006356774615,3.506639028496386,3.5315109918941556,3.762641561050308,3.7772166572334394,3.3501267992648662,3.457256862775772,3.478566601806672,3.762641561050308,3.7772166572334394,3.9128265886082683,4.2101068994043205,4.433606346056652,4.49531845565202,4.814460526654339,4.890951019292549,4.922887257862455,5.4797366383184745,5.649091463692801,5.795872658865162,999.0,2.006731920332712,2.0336055465047216,2.122885685755178,2.3535967570317906,2.392476553167691,2.7771635192177713,3.187505098467673,3.479510181966158,3.4900006356774615,3.506639028496386,3.5315109918941556,4.052553360802837,4.0775715638044945,4.077705221564524,4.11076662904688,4.31349917044366,1.0,1.0,0.0,-1.9286861757893803,1,Pu,relaxation,0.15739181597208277,0.5813689582616876,2017
1.0,0.29895063910383635,-0.014816775442922652,-0.2163651993113289,-0.20576211583533816,9.021588266824775,8.891520175055827,-0.13408366940235739,-55.63984344583037,-57.28247696790577,-1.6426335220753998,-0.8181873982657182,-9.389648559684801,-2.405038445823145,9.727237049592196,-1.3558116293130569,-4.848471280070306,1.1432853480359135,5.162654386541938,8.491642258794533,0.0,0.0,6.0,11.0,15.0,1.0,6.0,14.0,21.0,31.0,1.9202379119553754,2.0512968831047793,2.1863443634468784,2.2747776483766304,2.38551987295661,2.679590418365431,3.0035986401481223,3.070073017712012,3.2753797154829205,3.360047600888615,3.399832583520106,3.508078628628861,3.5635622943313114,3.6268495058360193,3.6324329750515654,3.6759308349621977,3.070073017712012,3.399832583520106,3.508078628628861,3.6268495058360193,3.6324329750515654,3.8896489333136133,4.116757757459884,4.547539073856999,4.658525673424181,4.792090579709246,4.885213530354484,5.0732195377646265,5.597984368761409,5.605436821490151,5.616017783421176,999.0,1.9202379119553754,2.0512968831047793,2.1863443634468784,2.2747776483766304,2.38551987295661,2.679590418365431,3.0035986401481223,3.2753797154829205,3.360047600888615,3.5635622943313114,3.6759308349621977,3.858035865149682,3.9156046543463043,3.9271837398638474,4.296414860049318,4.323108321355193,0.0,0.0,6.0,12.0,15.0,1.0,6.0,11.0,21.0,31.0,1.9638871395971007,2.0824714178449115,2.101296190051311,2.330886908823688,2.439322053519435,2.591798168147385,3.1913984401511186,3.352279439106017,3.419799609818556,3.4320136987438725,3.445377124612742,3.4918770117960105,3.511650132078239,3.5164564398782465,3.72815365548713,3.7324651929488355,3.352279439106017,3.445377124612742,3.5164564398782465,3.72815365548713,3.7324651929488355,3.8197130622813087,4.247343167030186,4.411979506091169,4.518969405059473,4.795474187439473,4.866484349979307,4.937725229400047,5.48976081559751,5.656274601343143,5.7517436602224645,999.0,1.9638871395971007,2.0824714178449115,2.101296190051311,2.330886908823688,2.439322053519435,2.591798168147385,3.1913984401511186,3.419799609818556,3.4320136987438725,3.4918770117960105,3.511650132078239,4.0600913427902166,4.0636479706189395,4.078622038922374,4.10674110555179,4.268321393609708,1.0,1.0,0.0,-1.9985576683203021,1,Pu,relaxation,0.18073151173941143,0.5880190492642323,2086
1.0,0.34390680184019473,0.316765341822408,-0.09900006044312648,0.09016980982757619,5.780989951632634,5.88642080018843,0.09616286630524055,-108.84924664147943,-54.07028536655812,54.77896127492131,4.887689368478698,-1.4213298912905348,0.6946598649356546,5.137337671456693,-6.630676874568394,1.8430084490991616,-5.37124192197376,8.729994028792651,5.093239439344715,0.0,0.0,8.0,10.0,17.0,0.0,7.0,12.0,25.0,41.0,2.1352801467186335,2.1589421693560777,2.1832365758721073,2.199887036740405,2.3552801159790455,2.512968518400795,2.723653321510795,3.192523191932432,3.227018759454159,3.4993953076782054,3.518987612817941,3.6397481884953287,3.676325612089089,3.6894771588233897,3.702709451004359,3.707227269863816,3.227018759454159,3.4993953076782054,3.6397481884953287,3.676325612089089,3.6894771588233897,3.702709451004359,3.707227269863816,3.9184089169079646,4.056599922664576,4.361553397749628,5.075396404123874,5.16354966886486,5.264936673673995,5.455348379652156,5.65478121822875,5.861857693010585,2.1352801467186335,2.1589421693560777,2.1832365758721073,2.199887036740405,2.3552801159790455,2.512968518400795,2.723653321510795,3.192523191932432,3.518987612817941,3.8172432229873583,3.823154243336953,3.9870894569013555,4.044642301219136,4.258883370640439,4.4024578926838,4.452649588758543,0.0,0.0,8.0,10.0,19.0,0.0,8.0,10.0,24.0,39.0,2.0043972813836555,2.143042390781552,2.2221849381138195,2.309300020626553,2.4789065663090644,2.500179097215589,2.558157484676767,2.8813132479511006,3.043952207275807,3.3066421524323286,3.4000610398339433,3.534819482359128,3.6159127783470972,3.7334913432698578,3.7675027314480185,3.8891514882392793,3.043952207275807,3.3066421524323286,3.4000610398339433,3.534819482359128,3.7675027314480185,3.8891514882392793,3.91233276620153,3.9822290704813668,4.042408381423409,4.255204433091556,5.232536084847585,5.332424746846929,5.3617090749129614,5.663648141045018,5.705040890305555,5.846015506852903,2.0043972813836555,2.143042390781552,2.2221849381138195,2.309300020626553,2.4789065663090644,2.500179097215589,2.558157484676767,2.8813132479511006,3.6159127783470972,3.7334913432698578,4.034937284598842,4.061174322549883,4.06507057949973,4.119131775264953,4.254419448335769,4.4301571805920235,0.0,0.0,0.0,1.8186092337626363,0,Pu,random_bulk,0.089692917721727,0.5668098762690825,2653
