step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement
0,2.0014793372808947e-15,-6540.332467040814,-15.572220159620985,-46.716660478862956,134.0,222.0,356.0,269.0,87.0,1.5380952380952382,0.5238095238095238,0.6445783132530121,0.7113095238095238,2.75599128540305,1.9000797186837648,2.0164045427797,3.01491451397708,surface,1,0.006462608810827697,-0.08999847290264995,1,17,0.05258735502126036,0.781913600134994,206757145581900.3,128,128,0,0.35
1,1.0011402280101908e-14,,,,,,,,,,,,,,,,,random_surface,1,0.00940207852542744,,0,15,0.030820225225582552,0.6310946418584898,203729374451489.38,128,128,0,0.35
2,1.2121594238052897e-14,,,,,,,,,,,,,,,,,surface_compression,1,0.07609986295496,,0,16,0.03108531210844899,0.6606597809862361,202461367274915.5,128,128,0,0.35
3,1.8173272143662672e-14,,,,,,,,,,,,,,,,,surface_compression,1,-0.09888904791769419,,0,16,0.08456538074365501,0.38217463046702727,196739972215573.2,128,128,0,0.35
4,2.968184725668084e-14,,,,,,,,,,,,,,,,,surface_compression,1,-0.1309418941968977,,0,18,0.04328673566579786,0.67527724429014,203426251273256.75,128,128,0,0.35
5,3.499795100588008e-14,,,,,,,,,,,,,,,,,relaxation,1,-0.4185104505424294,-0.2979820247202909,1,17,0.14354916983327967,0.7067291381692167,205387921632735.0,128,128,0,0.35
6,4.7463034618538304e-14,,,,,,,,,,,,,,,,,random_surface,1,0.13443080285234307,,0,17,0.06735334780192499,0.33169406108586447,201509330337421.8,128,128,0,0.35
7,4.912068256923566e-14,,,,,,,,,,,,,,,,,random_surface,1,-0.09878954775050063,-0.08751410300691376,1,17,0.028557344710029922,0.7232917280026913,200164885324670.66,128,128,0,0.35
8,5.950305075120349e-14,,,,,,,,,,,,,,,,,surface,1,0.049765369624633564,,0,17,0.046117803746871015,0.3086626388935347,196327336646828.25,128,128,0,0.35
9,6.006992661058767e-14,,,,,,,,,,,,,,,,,coordination,1,0.2829244608222918,,0,18,0.11053915680176744,0.30139291681994684,199783595663967.56,128,128,0,0.35
10,6.03387889737452e-14,,,,,,,,,,,,,,,,,coordination,1,-0.4283531175356689,,0,13,0.14525847904645114,0.3906204543504231,203516459196080.6,128,128,0,0.35
11,6.086035688731339e-14,,,,,,,,,,,,,,,,,coordination,1,-0.15307409046501966,,0,17,0.05469660474689072,0.6283081523892743,204894067999424.94,128,128,0,0.35
12,6.158466738664111e-14,,,,,,,,,,,,,,,,,relaxation,1,-0.06244452510929256,,0,17,0.04690633397070951,0.37248236721534883,203775125338896.16,128,128,0,0.35
13,7.10846407483201e-14,,,,,,,,,,,,,,,,,surface_compression,1,-0.7434724841925607,-0.36454452454431063,1,15,0.18951900199710575,0.8108715619808478,191124685628813.44,128,128,0,0.35
14,8.146001742135915e-14,,,,,,,,,,,,,,,,,surface_compression,1,-0.32536079140440816,-0.3453623326955082,1,18,0.17324480097157624,0.43147873267096964,195813396192783.34,128,128,0,0.35
15,1.0102347068915894e-13,,,,,,,,,,,,,,,,,random_surface,1,0.15701948859284076,,0,16,0.06396688824414702,0.49073768541110974,193822171545016.12,128,128,0,0.35
16,1.0279407630649827e-13,,,,,,,,,,,,,,,,,random_surface,1,-0.08261246227642742,,0,17,0.04086900789702144,0.3950264869348037,202094428106676.25,128,128,0,0.35
17,1.080559147642396e-13,,,,,,,,,,,,,,,,,relaxation,1,0.1662709528891631,,0,16,0.04490059830431179,0.2825529344537604,194021067645738.53,128,128,0,0.35
18,1.0995336542484634e-13,,,,,,,,,,,,,,,,,surface,1,-0.007352316515801183,-0.3132262813664859,1,15,0.033602380482851094,0.736940248476042,209014626370884.7,128,128,0,0.35
19,1.1058098453441908e-13,,,,,,,,,,,,,,,,,coordination,1,0.07550475479575099,,0,17,0.03956057498049999,0.4446839956010823,209676593583106.8,128,128,0,0.35
20,1.1243386785651575e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.2547284299705254,,0,18,0.05027706154784474,0.5866307593705402,202646322794334.7,128,128,0,0.35
21,1.1449495659313756e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.12746810555730895,,0,16,0.06783976097606852,0.3667292202507504,208453883914879.3,128,128,0,0.35
22,1.217963550144224e-13,,,,,,,,,,,,,,,,,relaxation,1,0.22160568508591988,,0,17,0.09200923483357427,0.2744544343474359,196129899252803.5,128,128,0,0.35
23,1.2464972673654248e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.1592615992281637,,0,18,0.05401180300829582,0.46420167972562815,190610999894683.56,128,128,0,0.35
24,1.2526211834498828e-13,,,,,,,,,,,,,,,,,coordination,1,0.3083101355070995,,0,18,0.07435253918077914,0.5001693220712305,202677583330281.28,128,128,0,0.35
25,1.2949300669877997e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.019245641440914254,,0,16,0.0337853736474516,0.26927200702471815,204591358211769.72,128,128,0,0.35
26,1.3036175403244822e-13,,,,,,,,,,,,,,,,,surface,1,-0.5696604197333084,-0.5255107786057707,1,15,0.148678134698401,0.7432025575366736,188138856016363.7,128,128,0,0.35
27,1.3385058588182007e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.06274074864341125,,0,16,0.037837179682253606,0.6643388563829953,203916782466037.12,128,128,0,0.35
