step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,9.921111418681548e-16,-6506.611364459322,-15.491931820141243,-46.47579546042373,135.0,217.0,352.0,266.0,86.0,1.542857142857143,0.5142857142857142,0.6295180722891566,0.7107142857142857,2.8245518739815316,1.900119692188112,2.034041367232486,2.9264998734525274,242.0,170.0,coordination,1,-0.08029433262298707,0.02835358970005153,0.0,0.02835358970005153,0.2,0,0,13,0.006522194502150511,0.9054662779630197,97292609842022.16,64,64,0,0.35,3600.0,3.0,1
1,2.7065655904924694e-15,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.05540448617363648,-0.07113473477877363,0.0,-0.07113473477877363,0.2,0,0,13,0.004447602103051972,0.8727856833354561,116390383211341.11,64,64,0,0.35,3600.0,3.0,1
2,1.2380726329813971e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.024357921162589797,-0.028550743733052997,0.0,-0.028550743733052997,0.2,0,0,13,0.003912600768113478,0.9018480442159083,105191111251209.56,64,64,0,0.35,3600.0,3.0,1
3,2.1155079110397298e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.002348032175542048,0.13448995773732975,0.0,0.13448995773732975,0.2,0,0,13,0.013457095546978841,0.6486731517378134,103055508536061.34,64,64,0,0.35,3600.0,3.0,1
4,2.348141289402772e-14,,,,,,,,,,,,,,,,,,,rejected_snap_to_fluorite_site,0,0.01953243626295127,0.26113972092574755,0.0,0.26113972092574755,0.2,0,0,13,0.015966489846228584,0.23320789047376403,96955663884530.11,64,64,0,0.35,3600.0,3.0,1
5,2.3705111966579776e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.09985379948075379,-0.09447027671740216,0.0,-0.09447027671740216,0.2,0,1,12,0.005313064005772805,0.982414870455344,101380439280093.38,64,64,0,0.35,3600.0,3.0,1
6,3.0088556913252225e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,0.021222133332056185,-0.004204552575941989,0.0,-0.004204552575941989,0.2,0,0,13,0.00899135413615613,0.6053453973342378,104846608926293.94,64,64,0,0.35,3600.0,3.0,1
7,4.3983056246624473e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.06292130129125487,0.00729986647719727,0.0,0.00729986647719727,0.2,0,0,13,0.0007194899161863041,0.32501140029789816,112532255497358.34,64,64,0,0.35,3600.0,3.0,1
8,9.003119944648531e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.023870327820352918,0.03063925581557214,0.0,0.03063925581557214,0.2,0,0,12,0.011801653659556545,0.8534731316059104,92009228482811.9,64,64,0,0.35,3600.0,3.0,1
9,9.535691668689447e-14,,,,,,,,,,,,,,,,,,,growth_front,1,0.21642375647062273,0.1778360060921571,0.0,0.1778360060921571,0.2,0,1,12,0.027707429967199423,0.052290407150528115,100892972615916.4,64,64,0,0.35,3600.0,3.0,1
10,9.66207586975398e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.01764994051029311,0.022770197662421054,0.0,0.022770197662421054,0.2,0,0,13,0.001188236098327763,0.5041916355572876,99180314168175.72,64,64,0,0.35,3600.0,3.0,1
11,1.0607917105443454e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.08525333285641487,-0.17185152805412685,0.0,-0.17185152805412685,0.2,0,1,12,0.003606066481994172,0.9578860752871083,98864006582864.14,64,64,0,0.35,3600.0,3.0,1
12,1.2645088978926512e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.1237316384159029,0.09045843500992135,0.0,0.09045843500992135,0.2,0,0,13,0.0025235915602172185,0.06262057215638198,118070853169391.53,64,64,0,0.35,3600.0,3.0,1
13,1.6717281004555784e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.023013236572866733,-0.0010534076378974078,0.0,-0.0010534076378974078,0.2,0,0,13,0.00254796938887558,0.9330241720161421,105144663366122.72,64,64,0,0.35,3600.0,3.0,1
14,1.6799368305411518e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.1633640486503472,0.17640904649445766,0.0,0.17640904649445766,0.2,0,0,13,0.004615709974662638,0.1667070948787313,107185735274597.19,64,64,0,0.35,3600.0,3.0,1
15,1.7503933634044346e-13,,,,,,,,,,,,,,,,,,,surface,1,0.03181243834097984,0.1313488462240926,0.0,0.1313488462240926,0.2,0,0,12,0.011989843937024815,0.5844909994389009,97782788067668.9,64,64,0,0.35,3600.0,3.0,1
16,1.775117042074066e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.19359586918027616,-0.2682780741517554,0.0,-0.2682780741517554,0.2,0,0,12,0.013614217144138824,0.744064167913486,103860944440595.11,64,64,0,0.35,3600.0,3.0,1
17,1.876597373278849e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.06732104012330811,-0.08379793312462525,0.0,-0.08379793312462525,0.2,0,0,13,0.0010873777848448007,0.8061877244004941,101974544762829.94,64,64,0,0.35,3600.0,3.0,1
18,1.9432599713558997e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.008015441565684006,0.04432931884570479,0.0,0.04432931884570479,0.2,0,0,13,0.012798491859029567,0.17549125181400776,96474890037111.92,64,64,0,0.35,3600.0,3.0,1
19,1.9502006270112007e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.018550668595133907,0.04294262452783215,0.0,0.04294262452783215,0.2,0,0,13,0.010418290255533534,0.6997967155771421,105535952912600.06,64,64,0,0.35,3600.0,3.0,1
20,1.9833429422657074e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.19031068078550417,-0.18133261819522772,0.0,-0.18133261819522772,0.2,0,1,12,0.018524921940568165,0.9177262937812531,93346884304335.72,64,64,0,0.35,3600.0,3.0,1
21,2.1278230602182848e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.0017378127166621006,0.10913804785758785,0.0,0.10913804785758785,0.2,0,0,13,0.00507795404828603,0.37041427730188864,112198009898642.94,64,64,0,0.35,3600.0,3.0,1
22,2.1423679878081923e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.01984478302794608,0.05330537336900676,0.0,0.05330537336900676,0.2,0,1,12,0.024199319544955536,0.9590109060508846,99394622911764.56,64,64,0,0.35,3600.0,3.0,1
23,2.2084692207175734e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.07033889419442153,-0.16044524247995184,0.0,-0.16044524247995184,0.2,0,0,13,0.0011671357164075302,0.8849592389618527,103971068260725.28,64,64,0,0.35,3600.0,3.0,1
24,2.5027525684774624e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.051716159905156774,-0.30653190537672326,0.0,-0.30653190537672326,0.2,0,0,13,0.006799213575282716,0.7472693160681878,100939646186195.36,64,64,0,0.35,3600.0,3.0,1
25,2.6030758970888803e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.004544613090818454,0.000491756206123739,0.0,0.000491756206123739,0.2,0,0,13,0.015488497173655937,0.8571100019716574,95566588382705.78,64,64,0,0.35,3600.0,3.0,1
26,2.669121769004942e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.509930225254695,0.4244837384448914,0.003012048192771122,0.41544759386657804,0.2,0,0,13,0.027029796603957434,0.02767951937031103,94056354297314.53,64,64,0,0.35,3600.0,3.0,1
27,2.8764467661868643e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.018513201454875478,0.13212161160855018,0.0,0.13212161160855018,0.2,0,1,12,0.054952720245544665,0.6105843531540959,102276746405442.12,64,64,0,0.35,3600.0,3.0,1
28,2.9062240396793855e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.07558049637415065,0.05731227354355539,0.0,0.05731227354355539,0.2,0,0,13,0.006327335845821881,0.42327570592949504,93675828297903.77,64,64,0,0.35,3600.0,3.0,1
29,2.914441016271066e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.33660369024569914,-0.4002068468169089,0.0,-0.4002068468169089,0.2,0,1,11,0.004562295406140421,0.9949154985339907,111984758669456.6,64,64,0,0.35,3600.0,3.0,1
30,3.055003390240232e-13,,,,,,,,,,,,,,,,,,,rejected_growth_front,0,0.20959206120155846,0.484419930115088,0.0,0.484419930115088,0.2,0,0,13,0.026605753834809703,0.512826482443322,104599031506146.97,64,64,0,0.35,3600.0,3.0,1
31,3.302185743409142e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.02480015438583608,0.011728214322857866,0.0,0.011728214322857866,0.2,0,0,13,0.0020153733252579777,0.532491383385877,94026257775537.39,64,64,0,0.35,3600.0,3.0,1
32,3.3431173471659915e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.038411957306171265,0.03611903470545741,0.0,0.03611903470545741,0.2,0,0,13,0.003996763508487877,0.8469936628867739,107556548714610.61,64,64,0,0.35,3600.0,3.0,1
33,3.631363717497838e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.00645589553531183,-0.00041609894002880843,0.0,-0.00041609894002880843,0.2,0,0,12,0.002873974189872667,0.4067357120656501,97867176566426.34,64,64,0,0.35,3600.0,3.0,1
34,3.725833081435497e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.38064416891970454,-0.45656963577275533,0.0,-0.45656963577275533,0.2,0,1,12,0.004521469517986515,0.9984564362660102,104090160357386.81,64,64,0,0.35,3600.0,3.0,1
