step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,1.4352582584409877e-14,-6535.086631193215,-15.55973007426956,-46.67919022280868,130.0,218.0,348.0,270.0,78.0,1.5285714285714285,0.5142857142857142,0.6176470588235294,0.712202380952381,2.863606121091151,1.9008960246065867,2.0288269027540933,2.9264998734525274,244.0,168.0,coordination,1,0.1011776170242097,-0.19395301593080205,0.0,-0.19395301593080205,0.2,0,0,12,0.015116256340081402,0.3336229916761098,55941147119117.79,64,64,0,0.35,2600.0,0.5,1
1,3.347450262067242e-14,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.011222731175544369,0.10500580811023497,0.0,0.10500580811023497,0.2,0,0,13,0.006813574760688427,0.7921386342599791,56674076763712.52,64,64,0,0.35,2600.0,0.5,1
2,3.942286381591787e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.06502688882478823,-0.04346277644504326,0.0,-0.04346277644504326,0.2,0,0,13,0.023929026316588817,0.6126955209112059,55287667434022.27,64,64,0,0.35,2600.0,0.5,1
3,4.4400566140683754e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.019006764094177724,-0.11743347126552806,0.0,-0.11743347126552806,0.2,0,1,12,0.019574118782345044,0.9641817086903832,47042164608954.61,64,64,0,0.35,2600.0,0.5,1
4,8.324834952260075e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.3418345112876363,-0.5144629746861966,0.0,-0.5144629746861966,0.2,0,1,12,0.008167393828017122,0.8963620582863855,47982776579664.19,64,64,0,0.35,2600.0,0.5,1
5,9.900118092570077e-14,,,,,,,,,,,,,,,,,,,growth_front,1,0.030464638916769878,-0.012911804182387243,0.0,-0.012911804182387243,0.2,0,0,13,0.006345048435675576,0.14710469025346662,51792104788460.07,64,64,0,0.35,2600.0,0.5,1
6,1.076092419498714e-13,,,,,,,,,,,,,,,,,,,rejected_local_cluster_affine,0,-0.04010740540679516,1.0966034197875782,0.0,1.0966034197875782,0.2,0,0,13,0.017101786097442985,0.2038768004667116,47528926144338.516,64,64,0,0.35,2600.0,0.5,1
7,1.471554526456832e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.09142927572135186,0.06260129560929428,0.0,0.06260129560929428,0.2,0,0,13,0.012172522233041078,0.13745558291127297,55010085961084.42,64,64,0,0.35,2600.0,0.5,1
8,1.7117645665011422e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.026534362055139746,-0.1638089472023232,0.002941176470588225,-0.1652795354376173,0.2,0,1,12,0.008478446118699023,0.7897005502417561,50151974666409.67,64,64,0,0.35,2600.0,0.5,1
9,1.752607861475082e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.019862126170411894,-0.010506487091994643,0.0,-0.010506487091994643,0.2,0,0,12,0.004553558384694402,0.7431032139023076,57424454777685.625,64,64,0,0.35,2600.0,0.5,1
